'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'notes'	'publisher_name'	'publication_type'	'date_monograph_published_print'	'date_monograph_published_online'	'monograph_volume'	'monograph_edition'	'first_editor'	'parent_publication_title_id'	'preceding_publication_title_id'	'access_type'
'Power System Protection 2: Systems and methods'	'9780852968369'	'9781849194433'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo905g'	''	'pbpo905g'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Power System Protection 3: Application'	'9780852968376'	'9781849194440'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo905h'	''	'pbpo905h'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Power System Protection 4: Digital protection and signalling'	'9780852968383'	'9781849194457'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo905j'	''	'pbpo905j'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Power System Stability: Modelling, Analysis and Control'	'9781849199445'	'9781849199452'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo076e'	'Sallam'	'pbpo076e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Power Systems Electromagnetic Transients Simulation'	'9780852961063'	'9780863419836'	'2003'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo039e'	'Watson'	'pbpo039e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2003'	'2003'	''	''	''	''	''	'P'
'Practical Communication Theory'	'9781613531860'	'9781613531877'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew516e'	'Adamy'	'sbew516e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Practical Robotics and Mechatronics: Marine, Space and Medical Applications'	'9781849199681'	'9781849199698'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce099e'	'Yamamoto'	'pbce099e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Principles of Microwave Circuits'	'9780863411007'	'9781849193832'	'1987'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew025e'	''	'pbew025e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1987'	'1987'	''	''	''	''	''	'P'
'Principles of Microwave Measurements'	'9780863412967'	'9781849193658'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbel005e'	'Bryant'	'pbel005e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'Principles of Modern Radar: Advanced techniques'	'9781891121531'	'9781613530245'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra020e'	''	'sbra020e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Principles of Modern Radar: Basic principles'	'9781891121524'	'9781613531488'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra021e'	''	'sbra021e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Principles of Modern Radar: Volume 3: Radar Applications'	'9781891121548'	'9781613530320'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra503e'	''	'sbra503e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Principles of Performance Engineering for Telecommunication and Information Systems'	'9780863416392'	'9781849194624'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte035e'	'Ghanbari'	'pbte035e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Principles of Planar Near-Field Antenna Measurements'	'9780863417368'	'9780863413339'	'2007'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew053e'	'Gregson'	'pbew053e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2007'	'2007'	''	''	''	''	''	'P'
'Principles of Space-Time Adaptive Processing'	'9780863415661'	'9780863419942'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra021e'	'Klemm'	'pbra021e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
'Principles of Waveform Diversity and Design'	'9781891121951'	'9781613531501'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra023e'	''	'sbra023e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Process Technology for Silicon Carbide Devices'	'9780852969984'	'9781849193719'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep002e'	''	'pbep002e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Programming Industrial Control Systems Using IEC 1131-3'	'9780852969502'	'9781849191616'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce050e'	'Lewis'	'pbce050e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Propagation of Radiowaves'	'9781849195782'	'9781849195799'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew056e'	''	'pbew056e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Propagation of Radiowaves'	'9780852961025'	'9781849190411'	'2003'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew502e'	''	'pbew502e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2003'	'2003'	''	''	''	''	''	'P'
'Propagation of Short Radio Waves'	'9780863410994'	'9781849193825'	'1987'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew024e'	''	'pbew024e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1987'	'1987'	''	''	''	''	''	'P'
'Propagation, Scattering and Dissipation of Electromagnetic Waves'	'9780863412837'	'9781849193924'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew036e'	'Ilyinski'	'pbew036e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'Propulsion Systems for Hybrid Vehicles'	'9780863419157'	'9780863419867'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo045e'	'Miller'	'pbpo045e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Propulsion Systems for Hybrid Vehicles'	'9781849191470'	'9781849191487'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn007e'	'Miller'	'pbrn007e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Protection of Electricity Distribution Networks'	'9781849192231'	'9781849192248'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo065e'	'Gers'	'pbpo065e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Pulse Doppler Radar: Principles, technology, applications'	'9781891121982'	'9781613531518'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra024e'	'Alabaster'	'sbra024e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'RF Power Amplifiers'	'9781884932120'	'9781613530931'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew030e'	'Albulet'	'sbew030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'RF and Microwave Modeling and Measurement Techniques for Field Effect Transistors'	'9781891121890'	'9781613530900'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew027e'	'Gao'	'sbew027e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'RFIC and MMIC Design and Technology'	'9780852967867'	'9781849190909'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs013e'	''	'pbcs013e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Radar Automatic Target Recognition (ATR) and Non-Cooperative Target Recognition (NCTR)'	'9781849196857'	'9781849196864'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra033e'	''	'pbra033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Radar Cross Section'	'9781891121258'	'9781613531532'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra026e'	'Knott'	'sbra026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Radar Detection'	'9781891121364'	'9781613531556'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra028e'	'DiFranco'	'sbra028e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Radar Essentials: A concise handbook for radar design and performance analysis'	'9781613530078'	'9781613531563'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra029e'	'Curry'	'sbra029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Radar Foundations for Imaging and Advanced Concepts'	'9781891121227'	'9781613531570'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra030e'	'Sullivan'	'sbra030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Radar Imaging and Holography'	'9780863415029'	'9781849190848'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra019e'	'Pasmurov'	'pbra019e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Radar Micro-Doppler Signatures: Processing and Applications'	'9781849197168'	'9781849197175'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra034e'	''	'pbra034e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Radar Principles for the Non-Specialist'	'9781891121340'	'9781613531594'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra032e'	'Toomay'	'sbra032e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Radar Techniques Using Array Antennas'	'9780852967980'	'9781849191432'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra010e'	'Wirth'	'pbra010e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Radar Techniques Using Array Antennas'	'9781849196987'	'9781849196994'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra026e'	'Wirth'	'pbra026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Radar and Electronic Warfare Principles for the Non-specialist'	'9781613530115'	'9781613530306'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra502e'	'Hannen'	'sbra502e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Radio Direction Finding and Superresolution'	'9780863412387'	'9781849193894'	'1991'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew033e'	'Gething'	'pbew033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1991'	'1991'	''	''	''	''	''	'P'
'Radio Frequency Interference (RFI) Pocket Guide'	'9781613532195'	'9781613532201'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew523e'	'Wyatt'	'sbew523e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Radio Frequency and Microwave Power Measurement'	'9780863411205'	'9781849193665'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbel007e'	'Fantom'	'pbel007e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'Radio Man: the Remarkable Rise and Fall of C.O. Stanley'	'9780852962039'	'9781849190237'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht030e'	'Frankland'	'pbht030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Radio Spectrum Management'	'9780852967706'	'9781849194662'	'1999'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte045e'	'Withers'	'pbte045e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1999'	'1999'	''	''	''	''	''	'P'
'Recent Trends in Sliding Mode Control'	'9781785610769'	'9781785610776'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce102e'	''	'pbce102e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Reliability of Power Electronic Converter Systems'	'9781849199018'	'9781849199025'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo080e'	''	'pbpo080e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'Resilience, Security & Risk in Transport'	'9781849197878'	'9781849198004'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/se/perrsr3e'	''	'perrsr3e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Restoring Baird's Image'	'9780852967959'	'9781849194143'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht027e'	'McLean'	'pbht027e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Ridge Waveguides and Passive Microwave Components'	'9780852967942'	'9781849190213'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew049e'	'Helszajn'	'pbew049e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Robots and Automated Manufacture'	'9780863410536'	'9781849193351'	'1985'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce028e'	''	'pbce028e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1985'	'1985'	''	''	''	''	''	'P'
'Robust and Adaptive Model Predictive Control of Non-linear Systems'	'9781849195522'	'9781849195539'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce083e'	'Guay'	'pbce083e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'SF<sub xmlns=''http://pub2web.metastore.ingenta.com/ns/''>6</sub> Switchgear'	'9780863411236'	'9781849194273'	'1989'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo010e'	'Ryan'	'pbpo010e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1989'	'1989'	''	''	''	''	''	'P'
'SIMOX'	'9780863413346'	'9781849190640'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep004e'	''	'pbep004e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Satellite Communication Systems'	'9780852968994'	'9780863419966'	'1999'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte038e'	''	'pbte038e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1999'	'1999'	''	''	''	''	''	'P'
'Satellite-to-Ground Radiowave Propagation'	'9781849191500'	'9781849191180'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew054e'	'Allnutt'	'pbew054e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Scattering of Electromagnetic Waves by Obstacles'	'9781613532218'	'9781613532225'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew524e'	'Kristensson'	'sbew524e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Scattering of Wedges and Cones with Impedance Boundary Conditions'	'9781613530030'	'9781613530252'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew501e'	'Lyalinov'	'sbew501e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Scenarios for a Future Electricity Supply: Cost-optimized variations on supplying Europe and its neighbours with electricity from renewable energies'	'9781849191562'	'9781849191579'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn010e'	'Czisch'	'pbrn010e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Sea Clutter: Scattering, the K Distribution and Radar Performance'	'9780863415036'	'9780863419935'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra020e'	'Ward'	'pbra020e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
'Sea Clutter: Scattering, the K Distribution and Radar Performance'	'9781849195898'	'9781849195904'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra025e'	'Ward'	'pbra025e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Security for Mobility'	'9780863413377'	'9781849190886'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte051e'	''	'pbte051e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Selected Topics in Advanced Solid State and Fibre Optic Sensors'	'9780852967799'	'9781849190152'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs011e'	''	'pbcs011e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Semi-custom IC Design and VLSI'	'9780863410116'	'9781849193535'	'1983'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbcm001e'	''	'pbcm001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1983'	'1983'	''	''	''	''	''	'P'
'Sensors, Actuators, and their Interfaces: A Multidisciplinary Introduction'	'9781613530061'	'9781613531952'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/sbcs502e'	'Ida'	'sbcs502e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Sevick's Transmission Line Transformers: Theory and Practice'	'9781891121975'	'9781613530467'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew513e'	'Mack'	'sbew513e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Short Circuit Currents'	'9780863415142'	'9781849190480'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo051e'	'Schlabbach'	'pbpo051e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Silicide Technology for Integrated Circuits'	'9780863413520'	'9781849190664'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep005e'	''	'pbep005e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Silicon Wafer Bonding Technology for VLSI and MEMS Applications'	'9780852960394'	'9781849193702'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep001e'	''	'pbep001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Singular Perturbation Methodology in Control Systems'	'9780863411076'	'9781849193375'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce034e'	'Naidu'	'pbce034e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Sir Charles Wheatstone'	'9780852961032'	'9781849194150'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht029e'	'Bowers'	'pbht029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Skills Development for Engineers: innovative model for advanced learning in the workplace'	'9780852969793'	'9781849191708'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt020e'	'Hoag'	'pbmt020e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Small Electric Motors'	'9780852969212'	'9781849194389'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo026e'	'Moczala'	'pbpo026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Small Signal Microwave Amplifier Design'	'9781884932069'	'9781613530955'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew032e'	'Grosch'	'sbew032e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Small Signal Microwave Amplifier Design: Solutions'	'9781884932090'	'9781613530962'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew033e'	'Grosch'	'sbew033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Smarter Energy: From Smart Metering to the Smart Grid'	'9781785611049 '	'9781785611056'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo088e'	''	'pbpo088e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Solar Photovoltaic Energy'	'9781849191548'	'9781849191555'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn009e'	'Labouret'	'pbrn009e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Solved Problems in Dynamical Systems and Control'	'9781785611742'	'9781785611759'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce107e'	'Machado'	'pbce107e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Spacecraft Technology: The Early Years'	'9780863415531'	'9781849190442'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht033e'	'Williamson'	'pbht033e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
'Spectral Theory and Excitation of Open Structures'	'9780852968765'	'9781849193962'	'1996'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew042e'	'Shestopalov'	'pbew042e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1996'	'1996'	''	''	''	''	''	'P'
'Spectrum and Network Measurements'	'9781613530146'	'9781613530368'	'2014'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew506e'	'Witte'	'sbew506e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2014'	'2014'	''	''	''	''	''	'P'
'Spectrum and Network Measurements'	'9781884932168'	'9781613531686'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/sbte005e'	'Witte'	'sbte005e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Spherical Near-field Antenna Measurements'	'9780863411106'	'9781849193849'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew026e'	''	'pbew026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Spread Spectrum in Communication'	'9780863410345'	'9781849194525'	'1985'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte012e'	'Skaug'	'pbte012e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1985'	'1985'	''	''	''	''	''	'P'
'Spread Spectrum in Mobile Communication'	'9780852969359'	'9781849194648'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte040e'	'Berg'	'pbte040e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Standard Codecs: Image compression to advanced video coding'	'9780852967102'	'9780863419973'	'2003'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte049e'	'Ghanbari'	'pbte049e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2003'	'2003'	''	''	''	''	''	'P'
'Standard Codecs: Image compression to advanced video coding'	'9780863419645'	'9781849191135'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte054e'	'Ghanbari'	'pbte054e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Statistical Techniques for High-Voltage Engineering'	'9780863412059'	'9781849194297'	'1992'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo013e'	'Hauschild'	'pbpo013e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1992'	'1992'	''	''	''	''	''	'P'
'Stepping Motors: a guide to theory and practice'	'9780852964170'	'9780863411380'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce063e'	'Acarnley'	'pbce063e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Strained Silicon Heterostructures: materials and devices'	'9780852967782'	'9781849191678'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs012e'	''	'pbcs012e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
