publication_title	print_identifier	online_identifier	publisher_name	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Les Cahiers Dynamiques	1276-3780	2109-9545	ERES	http://www.cairn.info/revue-les-cahiers-dynamiques.htm			33			67			LCD											
Les Cahiers du numérique	1622-1494	2111-434X	Lavoisier	http://www.cairn.info/revue-les-cahiers-du-numerique.htm			2			12			LCN											
Le Carnet PSY	1260-5921	2107-0954	Editions Cazaubon	http://www.cairn.info/revue-le-carnet-psy.htm			61			203			LCP											
Libres cahiers pour la psychanalyse	1625-7480	2118-2760	In Press	http://www.cairn.info/revue-libres-cahiers-pour-la-psychanalyse.htm			1			30			LCPP											
Les Cahiers de la Shoah	1262-0386	1965-0523	Les Belles lettres	http://www.cairn.info/revue-les-cahiers-de-la-shoah.htm			5			9			LCS											
Les Cahiers Sirice	1967-2713	2118-0067	UMR Sirice	http://www.cairn.info/revue-les-cahiers-sirice.htm			1			17			LCSI											
L'Économie politique	1293-6146	1965-0612	Altern. économiques	http://www.cairn.info/revue-l-economie-politique.htm			9			72			LECO											
LEGICOM	1244-9288	2272-8090	Victoires éditions	http://www.cairn.info/revue-legicom.htm			8			57			LEGI											
Les Études philosophiques	0014-2166	2101-0056	Presses Universitaires de France	http://www.cairn.info/revue-les-etudes-philosophiques.htm			56			164			LEPH											
Langue française	0023-8368	1957-7982	Armand Colin	http://www.cairn.info/revue-langue-francaise.htm			141			191			LF											
Le français aujourd'hui	0184-7732	2107-0857	Armand Colin	http://www.cairn.info/revue-le-francais-aujourd-hui.htm			132			194			LFA											
L'Homme	0439-4216	1953-8103	Éditions de l'EHESS	http://www.cairn.info/revue-l-homme.htm			157			220			LHOM											
L'Homme et la société	0018-4306	2101-0226	L'Harmattan	http://www.cairn.info/revue-l-homme-et-la-societe.htm			139			200			LHS											
Littératures classiques	0992-5279	2260-8478	Presses universitaires du Midi	http://www.cairn.info/revue-litteratures-classiques.htm			54			91			LICLA1											
L'Information géographique 	0020-0093	1777-5876	Armand Colin	http://www.cairn.info/revue-l-information-geographique.htm			70			80			LIG											
Lignes	0988-5226	2272-818X	Editions Lignes	http://www.cairn.info/revue-lignes.htm			1			50			LIGNES											
La linguistique	0075-966X	2101-0234	Presses Universitaires de France	http://www.cairn.info/revue-la-linguistique.htm			37			52			LING											
Littérature	0047-4800	1958-5926	Armand Colin	http://www.cairn.info/revue-litterature.htm			141			183			LITT											
Le Mouvement Social	0027-2671	1961-8646	La Découverte	http://www.cairn.info/revue-le-mouvement-social.htm			194			256			LMS											
La pensée de midi	1621-5338	1950-604X	Actes sud	http://www.cairn.info/revue-la-pensee-de-midi.htm			1			31			LPM											
La revue lacanienne	1967-2055	2109-9553	ERES	http://www.cairn.info/revue-la-revue-lacanienne.htm			1			17			LRL											
Langage et société	0181-4095	2101-0382	Éditions de la Maison des sciences de l'homme	http://www.cairn.info/revue-langage-et-societe.htm			91			158			LS											
Le sujet dans la cité	2112-7689	2263-7516	L'Harmattan	http://www.cairn.info/revue-le-sujet-dans-la-cite.htm			1			5			LSDLC											
Les Sciences de l'éducation - Pour l'Ère nouvelle	0755-9593	2259-3764	CERSE - Université de Caen	http://www.cairn.info/revue-les-sciences-de-l-education-pour-l-ere-nouvelle.htm			38			49			LSDLE											
Les Temps Modernes	0040-3075	2272-9356	Gallimard	http://www.cairn.info/revue-les-temps-modernes.htm			616			691			LTM											
Maghreb - Machrek	1762-3162	2271-6815	ESKA	http://www.cairn.info/revue-maghreb-machrek.htm			195			225			MACHR											
M@n@gement		1286-4692	AIMS	http://www.cairn.info/revue-management.htm			4			19			MANA											
Marché et organisations	1953-6119	2264-525X	L'Harmattan	http://www.cairn.info/revue-marche-et-organisations.htm			1			27			MAORG											
Marges	1767-7114	2416-8742	Presses universitaires de Vincennes	http://www.cairn.info/revue-marges.htm			16			23			MARG											
Matériaux pour l’histoire de notre temps 	0769-3206	1952-4226	BDIC	http://www.cairn.info/revue-materiaux-pour-l-histoire-de-notre-temps.htm			81			120			MATE											
Management et Avenir	1768-5958	1969-6574	Management Prospective Ed.	http://www.cairn.info/revue-management-et-avenir.htm			1			88			MAV											
Management et Avenir Santé		2426-5551	Management Prospective Ed.	http://www.cairn.info/revue-management-et-avenir-sante.htm			1			2			MAVS											
Mélanges de la Casa de Velázquez	0076-230X	2173-1306	Casa de Velázquez	http://www.cairn.info/revue-melanges-de-la-casa-de-velazquez.htm			43			46			MCV											
Mondes en développement	0302-3052	1782-1444	De Boeck Supérieur	http://www.cairn.info/revue-mondes-en-developpement.htm			114			176			MED											
Méditerranée	0025-8296	1760-8538	Presses universitaires de Provence	http://www.cairn.info/revue-mediterranee.htm			120			124			MEDI											
Médiévales	0751-2708	1777-5892	Presses universitaires de Vincennes	http://www.cairn.info/revue-medievales.htm			64			71			MEDIE											
Médium	1771-3757	2259-5082	Association Médium	http://www.cairn.info/revue-medium.htm			1			47			MEDIU											
Mille huit cent quatre-vingt-quinze	0769-0959	1960-6176	AFRHC	http://www.cairn.info/revue-1895.htm			69			78			MHC											
Mil neuf cent. Revue d'histoire intellectuelle	1146-1225	1960-6648	Société d’études soréliennes	http://www.cairn.info/revue-mil-neuf-cent.htm			19			33			MNC											
Monde chinois	1767-3755	2271-1929	ESKA	http://www.cairn.info/revue-monde-chinois.htm			29			45			MOCHI											
Monde(s)	2261-6268	2260-7927	Presses universitaires de Rennes	http://www.cairn.info/revue-mondes.htm			1			10			MOND1											
Mots. Les langages du politique	0243-6450	1960-6001	E.N.S. Editions	http://www.cairn.info/revue-mots.htm			101			112			MOTS											
Mouvements	1291-6412	1776-2995	La Découverte	http://www.cairn.info/revue-mouvements.htm			13			88			MOUV											
Multitudes	0292-0107	1777-5841	Association Multitudes	http://www.cairn.info/revue-multitudes.htm			1			64			MULT											
Musurgia	1257-7537	2271-1856	ESKA	http://www.cairn.info/revue-musurgia.htm									MUSUR											
Napoleonica. La Revue		2100-0123	La Fondation Napoléon	http://www.cairn.info/revue-napoleonica-la-revue.htm			1			26			NAPO											
NAQD	1111-4371		SARL NAQD	http://www.cairn.info/revue-naqd.htm			1			32			NAQD											
Notes du conseil d’analyse économique	2273-8525	2270-2385	Conseil d’analyse économique	http://www.cairn.info/revue-notes-du-conseil-d-analyse-economique.htm			1			35			NCAE											
Les Nouveaux Cahiers du Conseil constitutionnel	2112-2679	1968-3820	Lextenso	http://www.cairn.info/revue-les-nouveaux-cahiers-du-conseil-constitutionnel.htm			29			53			NCCC1											
Négociations	1780-9231	1782-1452	De Boeck Supérieur	http://www.cairn.info/revue-negociations.htm			1			26			NEG											
Nouvelles FondationS	1951-9745	2101-0242	Fond. G. Péri	http://www.cairn.info/revue-nouvelles-fondations.htm			1			8			NF											
Norois	0029-182X	1760-8546	Presses universitaires de Rennes	http://www.cairn.info/revue-norois.htm			226			239			NOR											
Nouvelles Questions Féministes	0248-4951	2297-3850	Editions Antipodes	http://www.cairn.info/revue-nouvelles-questions-feministes.htm			21			35			NQF											
La nouvelle revue de l'adaptation et de la scolarisation	1957-0341	2426-6248	I.N.S.H.E.A.	http://www.cairn.info/revue-la-nouvelle-revue-de-l-adaptation-et-de-la-scolarisation.htm			33			73			NRAS											
Nouvelle revue d’esthétique	1969-2269	2264-2595	Presses Universitaires de France	http://www.cairn.info/revue-nouvelle-revue-d-esthetique.htm			1			17			NRE											
Nouvelle revue de psychosociologie	1951-9532	1961-8697	ERES	http://www.cairn.info/revue-nouvelle-revue-de-psychosociologie.htm			1			22			NRP											
Nouvelle revue théologique	0029-4845	2406-4726	Association Nouvelle revue théologique	http://www.cairn.info/revue-nouvelle-revue-theologique.htm			125			138			NRT											
Natures Sciences Sociétés	1240-1307	1765-2979	EDP Sciences	http://www.cairn.info/revue-natures-sciences-societes.htm			12			24			NSS											
Outre-Terre	1636-3671	1951-624X	L’Esprit du temps	http://www.cairn.info/revue-outre-terre.htm			3			47			OUTE1											
Problèmes d'Amérique latine	0765-1333	1968-3898	ESKA	http://www.cairn.info/revue-problemes-d-amerique-latine.htm			70			99			PAL											
Pardès	0295-5652	2271-1880	In Press	http://www.cairn.info/revue-pardes.htm			30			57			PARDE											
Parlement[s], Revue d'histoire politique	1768-6520	1760-6233	Presses universitaires de Rennes	http://www.cairn.info/revue-parlements.htm			1			24			PARL2											
Participations	2034-7650	2034-7669	De Boeck Supérieur	http://www.cairn.info/revue-participations.htm			1			14			PARTI											
Psychologie Clinique	1145-1882	2118-4224	EDK, Groupe EDP Sciences	http://www.cairn.info/revue-psychologie-clinique.htm			27			41			PCLI											
Psychologie clinique et projective	1265-5449	2118-4496	ERES	http://www.cairn.info/revue-psychologie-clinique-et-projective.htm			7			22			PCP											
Politiques de communication	2271-068X	2426-5977	Presses universitaires de Grenoble	http://www.cairn.info/revue-politiques-de-communication.htm			1			6			PDC											
Politique étrangère	0032-342X	1958-8992	Institut français des relations internationales (IFRI)	http://www.cairn.info/revue-politique-etrangere.htm									PE											
Perspectives économiques de l'OCDE	0304-3274	1684-3436	Ed. de l’OCDE	http://www.cairn.info/revue-perspectives-economiques-de-l-ocde.htm			69			97			PERS											
Revue de philologie, de littérature et d'histoire anciennes	0035-1652	1760-8430	Klincksieck	http://www.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes.htm									PHIL											
Philosophie	0294-1805	1968-391X	Editions de Minuit	http://www.cairn.info/revue-philosophie.htm			69			132			PHILO											
Le Philosophoire	1283-7091	1968-3839	Vrin	http://www.cairn.info/revue-le-philosophoire.htm			7			45			PHOIR											
Plein droit	0987-3260	2262-5135	GISTI	http://www.cairn.info/revue-plein-droit.htm			48			110			PLD											
Poetsie	0152-0032	2498-4191	Belin	http://www.cairn.info/revue-poesie.htm			111			156			POESI											
Poétique	1245-1274	1968-3871	Le Seuil	http://www.cairn.info/revue-poetique.htm			133			180			POETI											
Politique européenne	1623-6297	2105-2875	L'Harmattan	http://www.cairn.info/revue-politique-europeenne.htm			1			53			POEU											
Politiques et gestion de l'enseignement supérieur	1682-346X	1684-3592	Ed. de l’OCDE	http://www.cairn.info/revue-politiques-et-gestion-de-l-enseignement-superieur.htm			14			20			POL											
Politique africaine	0244-7827	2264-5047	Editions Karthala	http://www.cairn.info/revue-politique-africaine.htm			73			142			POLAF											
Politique américaine	1771-8848	2264-5306	L'Harmattan	http://www.cairn.info/revue-politique-americaine.htm			1			27			POLAM											
Population et Avenir	0223-5706	1968-3952	Association Population et Avenir	http://www.cairn.info/revue-population-et-avenir.htm			671			730			POPAV											
Population	0032-4663	1957-7966	Institut national d'études démographiques (INED)	http://www.cairn.info/revue-population.htm			56			71			POPU											
Pratiques et Organisation des Soins	1952-9201	1961-9391	CNAMTS	http://www.cairn.info/revue-pratiques-et-organisation-des-soins.htm			39			43			POS											
Pour	0245-9442	2426-6507	GREP	http://www.cairn.info/revue-pour.htm			193			229			POUR											
Pouvoirs	0152-0768	2101-0390	Le Seuil	http://www.cairn.info/revue-pouvoirs.htm			96			159			POUV											
Politix	0295-2319	1953-8286	De Boeck Supérieur	http://www.cairn.info/revue-politix.htm			69			114			POX											
Pensée plurielle	1376-0963	1782-1479	De Boeck Supérieur	http://www.cairn.info/revue-pensee-plurielle.htm			3			43			PP											
Perspectives Psy	0031-6032	2118-4038	EDK, Groupe EDP Sciences	http://www.cairn.info/revue-perspectives-psy.htm			43			56			PPSY											
Présence Africaine	0032-7638	2271-197X	Editions Présence Africaine	http://www.cairn.info/revue-presence-africaine.htm			1			192			PRESA											
Revue Projet	0033-0884	2108-6648	C.E.R.A.S	http://www.cairn.info/revue-projet.htm			265			355			PRO											
Projectics / Proyéctica / Projectique	2031-9703	2032-0043	De Boeck Supérieur	http://www.cairn.info/revue-projectique.htm			0			15			PROJ											
Pratiques en santé mentale	1286-1286	2426-640X	Champ social	http://www.cairn.info/revue-pratique-en-sante-mentale.htm									PSM											
PSN	1639-8319	1955-2351	Editions Matériologiques	http://www.cairn.info/revue-psn.htm			10			14			PSN											
Prospective et stratégie	2260-0299	2492-0606	APORS Éditions	http://www.cairn.info/revue-prospective-et-strategie.htm			1			6			PSTRAT											
Pôle Sud	1262-1676	1960-6656	ARPoS	http://www.cairn.info/revue-pole-sud.htm			20			44			PSUD											
Psychanalyse	1770-0078	1951-6320	ERES	http://www.cairn.info/revue-psychanalyse.htm			1			37			PSY											
La psychiatrie de l'enfant	0079-726X	2102-5320	Presses Universitaires de France	http://www.cairn.info/revue-la-psychiatrie-de-l-enfant.htm			44			59			PSYE											
Psychosomatique relationnelle		2272-916X	Centre international de psychosomatique	http://www.cairn.info/revue-psychosomatique-relationnelle.htm			1			6			PSYR											
Psychothérapies	0251-737X	2235-2104	Médecine & Hygiène	http://www.cairn.info/revue-psychotherapies.htm			22			37			PSYS											
Psychotropes	1245-2092	1782-1487	De Boeck Supérieur	http://www.cairn.info/revue-psychotropes.htm			7			23			PSYT											
Questions de communication	1633-5961	2259-8901	PUN - Editions universitaires de Lorraine	http://www.cairn.info/revue-questions-de-communication.htm			23			29			QDC											
Question(s) de management	2262-7030	2271-2127	I.M.C.F	http://www.cairn.info/revue-questions-de-management.htm			0			13			QDM											
Quaderni	0987-1381	2105-2956	Éditions de la Maison des sciences de l'homme	http://www.cairn.info/revue-quaderni.htm			80			90			QUAD											
Roman 20-50	0295-5024	2492-0614	Société Roman 20-50	http://www.cairn.info/revue-roman2050.htm			39			62			R2050											
Revue d'anthropologie des connaissances		1760-5393	S.A.C.	http://www.cairn.info/revue-anthropologie-des-connaissances.htm			1			3			RAC											
Raisons politiques	1291-1941	1950-6708	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-raisons-politiques.htm			1			64			RAI											
Revue de la BNF	1254-7700	2118-3376	Bibliothèque nationale de France (B.N.F.)	http://www.cairn.info/revue-de-la-bibliotheque-nationale-de-france.htm			31			53			RBNF											
Regards croisés sur l'économie	1956-7413	2119-3975	La Découverte	http://www.cairn.info/revue-regards-croises-sur-l-economie.htm			1			18			RCE											
Revue Congolaise de Gestion	1729-0228	2411-0884	Editions ICES	http://www.cairn.info/revue-congolaise-de-gestion.htm			13			19			RCG											
Recherches sur Diderot et sur l’Encyclopédie	0769-0886	1955-2416	Société Diderot	http://www.cairn.info/revue-recherches-sur-diderot-et-sur-l-encyclopedie.htm			48			50			RDE											
Rue Descartes	1144-0821	2102-5819	Collège international de Philosophie	http://www.cairn.info/revue-rue-descartes.htm			31			88			RDES											
La Revue de l'Ires	1145-1378	2104-3698	I.R.E.S.	http://www.cairn.info/revue-de-l-ires.htm			47			88			RDLI											
Revue du MAUSS	1247-4819	1776-3053	La Découverte	http://www.cairn.info/revue-du-mauss.htm			17			48			RDM											
Revue du Nord	0035-2624	2271-7005	Université Lille-3	http://www.cairn.info/revue-du-nord.htm			339			414			RDN											
Annales des Mines - Responsabilité et environnement	1268-4783	2271-8052	F.F.E.	http://www.cairn.info/revue-responsabilite-et-environnement.htm			49			84			RE1											
Regards sur l'économie allemande	1156-8992	1965-0787	CIRAC	http://www.cairn.info/revue-regards-sur-l-economie-allemande.htm			108			119			REA											
Revue de l'enfance et de l'adolescence	2426-296X	2426-3648	ERES	http://www.cairn.info/revue-de-l-enfance-et-de-l-adolescence.htm			43			93			READ											
Revue économique	0035-2764	1950-6694	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-economique.htm			52			67			RECO											
Revue d'économie politique	0373-2630	2105-2883	Dalloz	http://www.cairn.info/revue-d-economie-politique.htm			111			126			REDP											
Réformes économiques	1813-2731	1813-274X	Ed. de l’OCDE	http://www.cairn.info/revue-reformes-economiques.htm			1			8			REF											
Recherche et formation	0988-1824	1968-3936	E.N.S. Editions	http://www.cairn.info/revue-recherche-et-formation.htm			72			78			REFO											
Revue d'économie industrielle	0154-3229	1773-0198	De Boeck Supérieur	http://www.cairn.info/revue-d-economie-industrielle.htm			141			154			REI											
Recherches économiques de Louvain	0770-4518	1782-1495	De Boeck Supérieur	http://www.cairn.info/revue-recherches-economiques-de-louvain.htm			67			80			REL											
Reliance	1774-9743	1951-6282	ERES	http://www.cairn.info/revue-reliance.htm			15			29			RELI											
Revue européenne des migrations internationales	0765-0752	1777-5418	Université de Poitiers	http://www.cairn.info/revue-europeenne-des-migrations-internationales.htm			29			32			REMI											
Revue de l'OFCE	1265-9576	1777-5647	OFCE	http://www.cairn.info/revue-de-l-ofce.htm			76			147			REOF											
Research in Psychoanalysis	1767-5448	1965-0213	Association Recherches en psychanalyse	http://www.cairn.info/revue-research-in-psychoanalysis.htm			1			21			REP1											
Repères, cahier de danse	2112-5147	2271-7811	La Briqueterie / CDC du Val-de-Marne	http://www.cairn.info/revue-reperes-cahier-de-danse.htm			17			37			REPER											
Revue d’Économie Régionale et Urbaine	0180-7307	2107-0865	Armand Colin	http://www.cairn.info/revue-d-economie-regionale-et-urbaine.htm									RERU											
Réseaux	0751-7971	1777-5809	La Découverte	http://www.cairn.info/revue-reseaux.htm			2			199			RES											
Recherches en Sciences de Gestion	2259-6372	2271-2836	ISEOR	http://www.cairn.info/revue-recherches-en-sciences-de-gestion.htm			85			114			RESG											
Revue européenne des sciences sociales	0048-8046	1663-4446	Librairie Droz	http://www.cairn.info/revue-europeenne-des-sciences-sociales.htm			1			1			RESS											
Revue d'éthique et de théologie morale	1266-0078	2118-4518	Editions du Cerf	http://www.cairn.info/revue-d-ethique-et-de-theologie-morale.htm			229			292			RETM											
Revue sur le droit et la politique de la concurrence	1560-7798	1684-3452	Ed. de l’OCDE	http://www.cairn.info/revue-sur-le-droit-et-la-politique-de-la-concurrence.htm			3			9			REVD											
Revue économique de l'OCDE	0255-0830	1684-3444	Ed. de l’OCDE	http://www.cairn.info/revue-economique-de-l-ocde.htm			32			44			REVO											
Géocarrefour	1627-4873	1960-601X	Association des amis de la Revue de géographie de Lyon	http://www.cairn.info/revue-geocarrefour.htm			88			90			revue-geocarrefour											
Tracés	1763-0061	1963-1812	E.N.S. Editions	http://www.cairn.info/revue-traces.htm			24			31			revue-traces											
Recherches familiales	1763-718X	2118-3252	Union nationale des associations familiales (UNAF)	http://www.cairn.info/revue-recherches-familiales.htm			1			12			RF											
Revue française d'administration publique	0152-7401	1965-0620	Ecole nationale d'administration (ENA)	http://www.cairn.info/revue-francaise-d-administration-publique.htm			101			158			RFAP											
Revue française des affaires sociales	0035-2985	2111-4358	La Documentation française	http://www.cairn.info/revue-francaise-des-affaires-sociales.htm			1			7			RFAS											
Revue française de droit constitutionnel	1151-2385	2105-2867	Presses Universitaires de France	http://www.cairn.info/revue-francaise-de-droit-constitutionnel.htm			45			108			RFDC											
Revue française d'économie	0769-0479	1760-7388	Revue française d’économie	http://www.cairn.info/revue-francaise-d-economie.htm									RFE											
Revue française d’études américaines	0397-7870	1776-3061	Belin	http://www.cairn.info/revue-francaise-d-etudes-americaines.htm			87			146			RFEA											
Revue française d'éthique appliquée	2494-5757	2427-0687	ERES	http://www.cairn.info/revue-francaise-d-ethique-appliquee.htm			1			2			RFEAP											
Revue française de gestion	0338-4551	1777-5663	Lavoisier	http://www.cairn.info/revue-francaise-de-gestion.htm			139			260			RFG											
Revue Française d'Histoire des Idées Politiques	1266-7862	2119-3851	L'Harmattan	http://www.cairn.info/revue-francaise-d-histoire-des-idees-politiques.htm			13			42			RFHIP1											
Revue française de linguistique appliquée	1386-1204	1875-368X	Pub. linguistiques	http://www.cairn.info/revue-francaise-de-linguistique-appliquee.htm									RFLA											
Revue française de psychanalyse	0035-2942	2105-2964	Presses Universitaires de France	http://www.cairn.info/revue-francaise-de-psychanalyse.htm			65			80			RFP											
Revue française de pédagogie	0556-7807	2105-2913	E.N.S. Editions	http://www.cairn.info/revue-francaise-de-pedagogie.htm			182			192			RFPED											
Revue française de psychosomatique	1164-4796	2105-2603	Presses Universitaires de France	http://www.cairn.info/revue-francaise-de-psychosomatique.htm			19			50			RFPS											
Revue française de sociologie	0035-2969	1958-5691	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-francaise-de-sociologie.htm			44			57			RFS											
Revue Française de Socio-Économie	1966-6608	2104-3833	La Découverte	http://www.cairn.info/revue-francaise-de-socio-economie.htm			1			17			RFSE											
Revue française de science politique	0035-2950	1950-6686	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-francaise-de-science-politique.htm			51			66			RFSP											
Revue historique	0035-3264	2104-3825	Presses Universitaires de France	http://www.cairn.info/revue-historique.htm			617			680			RHIS											
Histoire de la justice	1639-4399	2271-7501	Association française pour l'histoire de la Justice	http://www.cairn.info/revue-histoire-de-la-justice.htm			16			26			RHJ											
Revue d'histoire littéraire de la France	0035-2411	2105-2689	Presses Universitaires de France	http://www.cairn.info/revue-d-histoire-litteraire-de-la-france.htm			101			116			RHLF											
Revue d’histoire moderne et contemporaine	0048-8003	1776-3045	Belin	http://www.cairn.info/revue-d-histoire-moderne-et-contemporaine.htm			4			2			RHMC											
Revue d'histoire de la protection sociale	1969-9123	2491-3049	Comité d'histoire de la sécurité sociale	http://www.cairn.info/revue-d-histoire-de-la-protection-sociale.htm			1			8			RHPS											
Revue de l'histoire des religions	0035-1423	2105-2573	Armand Colin	http://www.cairn.info/revue-de-l-histoire-des-religions.htm			230			233			RHR											
Revue d'histoire des sciences	0151-4105	1969-6582	Armand Colin	http://www.cairn.info/revue-d-histoire-des-sciences.htm			59			69			RHS											
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	Ed. Sc. Humaines	http://www.cairn.info/revue-histoire-des-sciences-humaines.htm			1			25			RHSH											
Histoire urbaine	1628-0482	2101-003X	Société française d'histoire urbaine	http://www.cairn.info/revue-histoire-urbaine.htm			1			46			RHU											
Relations internationales	0335-2013	2105-2654	Presses Universitaires de France	http://www.cairn.info/revue-relations-internationales.htm			121			167			RI											
Revue internationale de droit économique	1010-8831	1782-1525	De Boeck Supérieur	http://www.cairn.info/revue-internationale-de-droit-economique.htm			1						RIDE											
Revue internationale de droit pénal	0223-5404	1951-6312	ERES	http://www.cairn.info/revue-internationale-de-droit-penal.htm			72			86			RIDP											
La revue internationale de l'éducation familiale	1279-7766	1968-388X	L'Harmattan	http://www.cairn.info/revue-la-revue-internationale-de-l-education-familiale.htm			19			38			RIEF											
Revue interdisciplinaire d'études juridiques	0770-2310	2406-4742	Université Saint-Louis - Bruxelles	http://www.cairn.info/revue-interdisciplinaire-d-etudes-juridiques.htm			58			76			RIEJ											
Gestion	0701-0028	2369-1352	HEC Montréal	http://www.cairn.info/revue-gestion.htm			26			41			RIGES											
Revue internationale d'intelligence économique	2101-647X	2102-6408	Lavoisier	http://www.cairn.info/revue-internationale-d-intelligence-economique.htm			1			7			RIIE											
RIMHE : Revue Interdisciplinaire Management, Homme et Entreprise	2259-2490	2260-5584	ARIMHE	http://www.cairn.info/revue-rimhe.htm			1			24			RIMHE											
Annales des Mines - Réalités industrielles	1148-7941	2271-7978	F.F.E.	http://www.cairn.info/revue-realites-industrielles.htm			2008			2016			RINDU1											
Revue internationale de philosophie	0048-8143	2033-0138	Association Revue internationale de philosophie	http://www.cairn.info/revue-internationale-de-philosophie.htm			216			276			RIP											
Revue internationale de politique comparée	1370-0731	1782-1533	De Boeck Supérieur	http://www.cairn.info/revue-internationale-de-politique-comparee.htm			8			22			RIPC											
Revue internationale de psychosociologie et de gestion des comportements organisationnels	2262-8401	2430-3275	ESKA	http://www.cairn.info/revue-internationale-de-psychosociologie-de-gestion-des-comportements-organisationnels.htm									RIPS1											
Revue internationale de psychologie sociale	0992-986X	2119-4130	Presses universitaires de Grenoble	http://www.cairn.info/revue-internationale-de-psychologie-sociale.htm			19			28			RIPSO											
Revue internationale et stratégique	1287-1672	2104-3876	Armand Colin	http://www.cairn.info/revue-internationale-et-strategique.htm			41			104			RIS											
Revue Internationale des Sciences Administratives	0303-965X	2411-2909	I.I.S.A.	http://www.cairn.info/revue-internationale-des-sciences-administratives.htm			71			82			RISA											
Revue internationale des sciences de l'organisation			Management Prospective Ed.	http://www.cairn.info/revue-internationale-des-sciences-de-l-organisation.htm			1			1			RISO											
Revue internationale des sciences sociales 	0304-3037	2222-4610	ERES	http://www.cairn.info/revue-internationale-des-sciences-sociales.htm			167			196			RISS											
Rives méditerranéennes	2103-4001	2119-4696	M.M.S.H.	http://www.cairn.info/revue-rives-mediterraneennes.htm			44			52			RIVES											
Revue juridique de l’environnement	0397-0299	2430-2848	Lavoisier	http://www.cairn.info/revue-revue-juridique-de-l-environnement.htm			35			41			RJE											
Revue de littérature comparée	0035-1466	1965-0264	Klincksieck	http://www.cairn.info/revue-de-litterature-comparee.htm			297			358			RLC											
Recherches linguistiques de Vincennes	0986-6124	1958-9239	Presses universitaires de Vincennes	http://www.cairn.info/revue-recherches-linguistiques-de-vincennes.htm			42			43			RLV											
Le Moyen Age	0027-2841	1782-1436	De Boeck Supérieur	http://www.cairn.info/revue-le-moyen-age.htm									RMA											
Revue de métaphysique et de morale	0035-1571	2102-5177	Presses Universitaires de France	http://www.cairn.info/revue-de-metaphysique-et-de-morale.htm			29			92			RMM											
Revue de neuropsychologie	2101-6739	2102-6025	John Libbey Eurotext	http://www.cairn.info/revue-de-neuropsychologie.htm			1			8			RNE											
Romantisme	0048-8593	1957-7958	Armand Colin	http://www.cairn.info/revue-romantisme.htm			123			173			ROM											
Revue de l’organisation responsable	1951-0187	2105-3022	ESKA	http://www.cairn.info/revue-de-l-organisation-responsable.htm			1			11			ROR											
Revue de Psychologie Analytique	2268-8870	2271-2151	L’Esprit du temps	http://www.cairn.info/revue-de-psychologie-analytique.htm			1			3			RPA											
Revue de philosophie économique	1376-0971	2118-4852	Vrin	http://www.cairn.info/revue-de-philosophie-economique.htm			10			17			RPEC											
Revue philosophique de la France et de l'étranger	0035-3833	2104-385X	Presses Universitaires de France	http://www.cairn.info/revue-philosophique.htm			126			141			RPHI											
Revue de psychothérapie psychanalytique de groupe	0297-1194	1776-2863	ERES	http://www.cairn.info/revue-de-psychotherapie-psychanalytique-de-groupe.htm			36			67			RPPG											
Reflets et perspectives de la vie économique	0034-2971	1782-1509	De Boeck Supérieur	http://www.cairn.info/revue-reflets-et-perspectives-de-la-vie-economique.htm									RPVE											
Retraite et société	1167-4687	1961-8719	La Documentation française	http://www.cairn.info/revue-retraite-et-societe.htm			34			73			RS											
La Revue des Sciences de Gestion	1160-7742	1760-6136	Direction et Gestion (La RSG)	http://www.cairn.info/revue-des-sciences-de-gestion.htm			213			280			RSG											
Recherche en soins infirmiers	0297-2964	2271-8362	Association de recherche en soins infirmiers (ARSI)	http://www.cairn.info/revue-recherche-en-soins-infirmiers.htm			80			126			RSI											
Revue des sciences philosophiques et théologiques	0035-2209	2118-4445	Vrin	http://www.cairn.info/revue-des-sciences-philosophiques-et-theologiques.htm			85			100			RSPT											
Recherches de Science Religieuse	0034-1258	2104-3884	Centre Sèvres	http://www.cairn.info/revue-recherches-de-science-religieuse.htm			89			104			RSR											
Sciences sociales et sport	1967-7359	2264-5748	L'Harmattan	http://www.cairn.info/revue-sciences-sociales-et-sport.htm			1			9			RSSS											
Revue Tiers Monde	1293-8882	1963-1359	Armand Colin	http://www.cairn.info/revue-tiers-monde.htm			173			227			RTM											
Savoir/Agir	1958-7856	1958-5535	Editions du Croquant	http://www.cairn.info/revue-savoir-agir.htm			1			37			SAVA											
Savoirs	1763-4229	2111-4390	L'Harmattan	http://www.cairn.info/revue-savoirs.htm			2			41			SAVO											
Savoirs et clinique	1634-3298	1776-2871	ERES	http://www.cairn.info/revue-savoirs-et-cliniques.htm			1			21			SC											
