publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	publisher_name	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Ethnologie française	0046-2616	2101-0064	2001	Vol. 31	01	2015	Vol. 45	0HS	http://www.cairn.info/revue-ethnologie-francaise.htm	Presses Universitaires de France		revue-ethnologie-francaise												
Études	0014-1941	2102-5800	2001	avril	01	2015	Tome 419	12	http://www.cairn.info/revue-etudes.htm	S.E.R.		revue-etudes												
Études anglaises	0014-195X	1965-0159	2001	Tome 54	01	2014	Vol. 67	04	http://www.cairn.info/revue-etudes-anglaises.htm	Klincksieck		revue-etudes-anglaises												
Études de communication	1270-6841	2101-0366	2012	n° 38	01	2014	n° 43	02	http://www.cairn.info/revue-etudes-de-communication.htm	Université Lille-3		revue-etudes-de-communication												
Etudes économiques de l'OCDE	0304-3363	1684-3428	2002	n° 1	01	2013	n°2	22	http://www.cairn.info/revue-etudes-economiques-de-l-ocde.htm	Ed. de l'OCDE		revue-etudes-economiques-de-l-ocde												
Études Germaniques	0014-2115		2006	n° 242	01	2014	n° 265	04	http://www.cairn.info/revue-etudes-germaniques.htm	Klincksieck		revue-etudes-germaniques												
Etudes rurales	0014-2182	1777-537X	2001	n° 157-158	01	2014	n°193	03	http://www.cairn.info/revue-etudes-rurales.htm	Éditions de l'EHESS		revue-etudes-rurales												
Études sur la mort	1286-5702	1961-8654	2001	n° 119	01	2014	n° 146	02	http://www.cairn.info/revue-etudes-sur-la-mort.htm	L'Esprit du temps		revue-etudes-sur-la-mort												
Études théologiques et religieuses	0014-2239	2272-9011	2005	Tome 80	01	2014	Tome 89	04	http://www.cairn.info/revue-etudes-theologiques-et-religieuses.htm	Institut protestant de théologie		revue-etudes-theologiques-et-religieuses												
Etudes Tsiganes	0014-2247		2007	n° 30	01	2013	n° 52-53	04	http://www.cairn.info/revue-etudes-tsiganes.htm	FNASAT		revue-etudes-tsiganes												
Revue européenne des migrations internationales	0765-0752	1777-5418	2012	Vol. 28	01	2014	Vol. 30	04	http://www.cairn.info/revue-europeenne-des-migrations-internationales.htm	Université de Poitiers		revue-europeenne-des-migrations-internationales												
Revue européenne des sciences sociales	0048-8046	1663-4446	2012	50-1	01	2014	52-2	02	http://www.cairn.info/revue-europeenne-des-sciences-sociales.htm	Librairie Droz		revue-europeenne-des-sciences-sociales												
Extrême-Orient Extrême-Occident 	0754-5010	2108-7105	2012	n° 34	01	2014	n° HS	02	http://www.cairn.info/revue-extreme-orient-extreme-occident.htm	Presses universitaires de Vincennes		revue-extreme-orient-extreme-occident												
Figures de la psychanalyse	1623-3883	1776-2847	2001	n° 12	01	2014	n° 28	02	http://www.cairn.info/revue-figures-de-la-psy.htm	ERES		revue-figures-de-la-psy												
Finance	0752-6180	2101-0145	2005	Vol. 26	01	2014	Vol. 35	03	http://www.cairn.info/revue-finance.htm	Presses univ. de Grenoble		revue-finance												
Finance et Bien Commun	1422-4658		2004	N° 20	01	2011	N° 28-29	03	http://www.cairn.info/revue-finance-et-bien-commun.htm	De Boeck Supérieur		revue-finance-et-bien-commun												
Flux	1154-2721	1958-9557	2001	n° 43	01	2014	N° 97-98	04	http://www.cairn.info/revue-flux.htm	Métropolis		revue-flux												
Formation emploi	0759-6340	2107-0946	2012	n° 117	01	2014	n° 128	04	http://www.cairn.info/revue-formation-emploi.htm	Céreq		revue-formation-emploi												
Revue française d'administration publique	0152-7401	1965-0620	2002	Hors série	01	2014	N° 151-152	05	http://www.cairn.info/revue-francaise-d-administration-publique.htm	Ecole nationale d'administration (ENA)		revue-francaise-d-administration-publique												
Revue française d'économie	0769-0479	1760-7388	2009	Volume XXIV	01	2014	Volume XXVIII	04	http://www.cairn.info/revue-francaise-d-economie.htm	Revue française d'économie		revue-francaise-d-economie												
Revue française d'études américaines	0397-7870	1776-3061	2001	n° 102	01	2014	n° 139	04	http://www.cairn.info/revue-francaise-d-etudes-americaines.htm	Belin		revue-francaise-d-etudes-americaines												
Revue Française d'Histoire des Idées Politiques	1266-7862	2119-3851	2001	N° 13	01	2014	n°27	02	http://www.cairn.info/revue-francaise-d-histoire-des-idees-politiques.htm	Editions Picard		revue-francaise-d-histoire-des-idees-politiques												
Revue française de droit constitutionnel	1151-2385	2105-2867	2001	HS n°1	00	2014	n° 99	05	http://www.cairn.info/revue-francaise-de-droit-constitutionnel.htm	Presses Universitaires de France		revue-francaise-de-droit-constitutionnel												
Revue française de gestion	0338-4551	1777-5663	2002	n° 139	01	2014	N° 245	11	http://www.cairn.info/revue-francaise-de-gestion.htm	Lavoisier		revue-francaise-de-gestion												
Revue française de linguistique appliquée	1386-1204	1875-368X	2001	Vol. IX	01	2014	Vol. XVIII	02	http://www.cairn.info/revue-francaise-de-linguistique-appliquee.htm	Pub. linguistiques		revue-francaise-de-linguistique-appliquee												
Revue française de pédagogie	0556-7807	2105-2913	2011	n° 174	01	2014	n° 186	04	http://www.cairn.info/revue-francaise-de-pedagogie.htm	E.N.S. Editions		revue-francaise-de-pedagogie												
Revue française de psychanalyse	0035-2942	2105-2964	2001	Vol. 65	01	2014	Vol. 78	05	http://www.cairn.info/revue-francaise-de-psychanalyse.htm	Presses Universitaires de France		revue-francaise-de-psychanalyse												
Revue française de psychosomatique	1164-4796	2105-2603	2001	n° 19	01	2014	n° 46	02	http://www.cairn.info/revue-francaise-de-psychosomatique.htm	Presses Universitaires de France		revue-francaise-de-psychosomatique												
Revue française de science politique	0035-2950	1950-6686	2001	Vol. 51	01	2015	Vol.63	06	http://www.cairn.info/revue-francaise-de-science-politique.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-francaise-de-science-politique												
Revue française de science politique (English)	2263-7494		2010	Vol. 60	01	2013	Vol. 63	06	http://www.cairn.info/revue-francaise-de-science-politique-english.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-francaise-de-science-politique-english												
Revue Française de Socio-Économie	1966-6608	2104-3833	2008	n° 1	01	2014	n° 9	02	http://www.cairn.info/revue-francaise-de-socio-economie.htm	La Découverte		revue-francaise-de-socio-economie												
Revue française de sociologie	0035-2969	1958-5691	2003	Vol. 44	01	2014	Vol. 55	05	http://www.cairn.info/revue-francaise-de-sociologie.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-francaise-de-sociologie												
Revue française des affaires sociales	0035-2985	2111-4358	2001	n° 1	01	2014	n° 3	06	http://www.cairn.info/revue-francaise-des-affaires-sociales.htm	La Doc. française		revue-francaise-des-affaires-sociales												
Genèses	1155-3219	1776-2944	2000	n° 38	01	2015	n° 98	04	http://www.cairn.info/revue-geneses.htm	Belin		revue-geneses												
Géocarrefour	1627-4873	1960-601X	2012	Vol. 87	01	2014	Vol. 89	04	http://www.cairn.info/revue-geocarrefour.htm	Association des amis de la Revue de géographie de Lyon		revue-geocarrefour												
Géoéconomie	1620-9869	2258-7748	2007	n° 43	01	2015	n° 73	05	http://www.cairn.info/revue-geoeconomie.htm	Editions Choiseul		revue-geoeconomie												
Géographie, économie, société	1295-926X	1958-5802	2004	Vol .14	01	2014	Vol. 9	04	http://www.cairn.info/revue-geographie-economie-societe.htm	Lavoisier		revue-geographie-economie-societe												
Géomorphologie	1266-5304	1957-777X	2012	n° 1	01	2014	n° 4	04	http://www.cairn.info/revue-geomorphologie.htm	Groupe français de géomorphologie		revue-geomorphologie												
Annales des Mines - Gérer et comprendre	0295-4397	2271-7943	2008	N° 100	01	2014	N° 99	04	http://www.cairn.info/revue-gerer-et-comprendre1.htm	ESKA		revue-gerer-et-comprendre1												
Germanica	0984-2632	2107-0784	2012	n° 50	01	2014	n° 54	02	http://www.cairn.info/revue-germanica.htm	Université Lille-3		revue-germanica												
Gérontologie et société	0151-0193	2101-0218	2001	HS n° 1	01	2013	n°136	05	http://www.cairn.info/revue-gerontologie-et-societe.htm	Fond. Nationale de Gérontologie		revue-gerontologie-et-societe												
Gestalt	1154-5232	1950-6716	2002	n° 22	01	2014	Numéro spécial	02	http://www.cairn.info/revue-gestalt.htm	Société française de Gestalt (S.F.G.)		revue-gestalt												
Gestion	0701-0028		2001	Vol. 26	01	2014	Vol.35	05	http://www.cairn.info/revue-gestion.htm	HEC Montréal		revue-gestion												
Gestion 2000	0773-0543		2011	Volume 28	01	2013	Volume 31	06	http://www.cairn.info/revue-gestion-2000.htm	Association de recherches et publications en management		revue-gestion-2000												
Gestion et management public	2116-8865		2012	Volume 1/n°1	01	2014	Volume 3/n°1	04	http://www.cairn.info/revue-gestion-et-management-public.htm	AIRMAP 		revue-gestion-et-management-public												
Gouvernement et action publique	2260-0965	2262-340X	2012	n° 1	01	2014	n° 4	04	http://www.cairn.info/revue-gouvernement-et-action-publique.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-gouvernement-et-action-publique												
Gradhiva	0764-8928	1760-849X	2012	n° 15	01	2015	n° 21	02	http://www.cairn.info/revue-gradhiva.htm	Musée du quai Branly		revue-gradhiva												
Guerres mondiales et conflits contemporains 	0984-2292	2101-0137	2001	n° 201	01	2014	n° 256	04	http://www.cairn.info/revue-guerres-mondiales-et-conflits-contemporains.htm	Presses Universitaires de France		revue-guerres-mondiales-et-conflits-contemporains												
Hermès, La Revue	0767-9513	1963-1006	1988	n° 1	01	2014	n° 8-9	03	http://www.cairn.info/revue-hermes-la-revue.htm	C.N.R.S. Editions		revue-hermes-la-revue												
Hérodote	0338-487X	1776-2987	2001	n° 116	01	2014	N°115	04	http://www.cairn.info/revue-herodote.htm	La Découverte		revue-herodote												
Histoire de l'éducation	0221-6280	2102-5452	2012	n° 133	01	2013	n° 138	04	http://www.cairn.info/revue-histoire-de-l-education.htm	E.N.S. Editions		revue-histoire-de-l-education												
Histoire de la justice	1639-4399	2271-7501	2005	N° 16	01	2014	N° 24	01	http://www.cairn.info/revue-histoire-de-la-justice.htm	Association française pour l'histoire de la Justice		revue-histoire-de-la-justice												
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	1999	n° 1	01	2011	n° 9	02	http://www.cairn.info/revue-histoire-des-sciences-humaines.htm	Ed. Sc. Humaines		revue-histoire-des-sciences-humaines												
Histoire, économie et société	0752-5702	1777-5906	2004	23e année	01	2014	33e année	04	http://www.cairn.info/revue-histoire-economie-et-societe.htm	Armand Colin / Dunod		revue-histoire-economie-et-societe												
Histoire et mesure	0982-1783	1957-7745	2012	Vol. XXIX	01	2014	Vol. XXVIII	02	http://www.cairn.info/revue-histoire-et-mesure.htm	Éditions de l'EHESS		revue-histoire-et-mesure												
Histoire et Sociétés Rurales	1254-728X	1950-666X	2001	Vol. 15	01	2014	Vol. 41	02	http://www.cairn.info/revue-histoire-et-societes-rurales.htm	Association d'histoire des sociétés rurales (A.H.S.R.)		revue-histoire-et-societes-rurales												
Histoire, monde et cultures religieuses	2267-7313	2271-1848	2007	n° 21	01	2014	n°9	04	http://www.cairn.info/revue-histoire-monde-et-cultures-religieuses.htm	Editions Karthala		revue-histoire-monde-et-cultures-religieuses												
Histoire@Politique	1954-3670		2007	n° 1	01	2014	n°20	03	http://www.cairn.info/revue-histoire-politique.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-histoire-politique												
Histoire urbaine	1628-0482	2101-003X	2000	n° 1	01	2014	n° 9	03	http://www.cairn.info/revue-histoire-urbaine.htm	Société française d'histoire urbaine		revue-histoire-urbaine												
Revue historique	0035-3264	2104-3825	2001	n° 617	01	2015	n°623	04	http://www.cairn.info/revue-historique.htm	Presses Universitaires de France		revue-historique												
Hommes et Migrations	1142-852X	2262-3353	2010	n° 1283	01	2014	n° 1307	06	http://www.cairn.info/revue-hommes-et-migrations.htm	Musée de l'histoire de l'immigration		revue-hommes-et-migrations												
Horizons stratégiques	1958-3370	1760-8023	2006	n° 1	01	2008	n° 7	04	http://www.cairn.info/revue-horizons-strategiques.htm	La Doc. française		revue-horizons-strategiques												
Humanisme et Entreprise	0018-7372	2271-1791	2007	n° 285	01	2014	n° 316	05	http://www.cairn.info/revue-humanisme-et-entreprise.htm	A.A.E.L.S.H.U.P		revue-humanisme-et-entreprise												
Hypothèses	1298-6216	2101-0269	1998	1	01	2014	9	01	http://www.cairn.info/revue-hypotheses.htm	Publications de la Sorbonne		revue-hypotheses												
Idées économiques et sociales	2257-5111	2264-2749	2008	N° 151	01	2014	N° 178	04	http://www.cairn.info/revue-idees-economiques-et-sociales.htm	Réseau Canopé		revue-idees-economiques-et-sociales												
Imaginaire et Inconscient	1628-9676	1965-0183	2001	n° 1	01	2014	n° 33	04	http://www.cairn.info/revue-imaginaire-et-inconscient.htm	L'Esprit du temps		revue-imaginaire-et-inconscient												
Revue internationale de soins palliatifs	1664-1531		2001	Vol. 16	01	2014	Vol. 29	04	http://www.cairn.info/revue-infokara.htm	Médecine et Hygiène		revue-infokara												
Informations sociales	0046-9459	2101-0374	2005	n° 121	01	2014	n° 185	08	http://www.cairn.info/revue-informations-sociales.htm	Caisse nationale d'allocations familiales (CNAF)		revue-informations-sociales												
Innovations	1267-4982	1965-0256	2001	n° 13	01	2015	n°41	03	http://www.cairn.info/revue-innovations.htm	De Boeck Supérieur		revue-innovations												
Insistance	1778-7807	1951-6258	2005	n° 1	01	2013	n°3	02	http://www.cairn.info/revue-insistance.htm	ERES		revue-insistance												
Revue interdisciplinaire d'études juridiques	0770-2310		2007	Volume 58	01	2014	Volume 72	02	http://www.cairn.info/revue-interdisciplinaire-d-etudes-juridiques.htm	FUSL		revue-interdisciplinaire-d-etudes-juridiques												
Revue internationale d'intelligence économique	2101-647X	2102-6408	2009	Vol 1	01	2014	Vol. 6	02	http://www.cairn.info/revue-internationale-d-intelligence-economique.htm	Lavoisier		revue-internationale-d-intelligence-economique												
Revue internationale de droit économique	1010-8831	1782-1525	2001	(t. XXVII)	01	2014	t.XXV	04	http://www.cairn.info/revue-internationale-de-droit-economique.htm	De Boeck Supérieur		revue-internationale-de-droit-economique												
Revue internationale de droit pénal	0223-5404	1951-6312	2001	Vol. 72	01	2014	Vol. 85	03	http://www.cairn.info/revue-internationale-de-droit-penal.htm	ERES		revue-internationale-de-droit-penal												
Revue internationale de philosophie	0048-8143	2033-0138	2001	n° 216	01	2014	n° 270	04	http://www.cairn.info/revue-internationale-de-philosophie.htm	Association Revue internationale de philosophie		revue-internationale-de-philosophie												
Revue internationale de politique comparée	1370-0731	1782-1533	2001	Vol. 10	01	2014	Vol. 9	04	http://www.cairn.info/revue-internationale-de-politique-comparee.htm	De Boeck Supérieur		revue-internationale-de-politique-comparee												
Revue internationale de psychologie sociale	0992-986X	2119-4130	2006	Tom 27	01	2014	Tome 27	04	http://www.cairn.info/revue-internationale-de-psychologie-sociale.htm	Presses univ. de Grenoble		revue-internationale-de-psychologie-sociale												
Revue internationale de psychosociologie	1260-1705	2105-2662	2001	Vol. IX	16	2012	Vol. XVIII	44	http://www.cairn.info/revue-internationale-de-psychosociologie.htm	ESKA		revue-internationale-de-psychosociologie												
Revue internationale de psychosociologie et de gestion des comportements organisationnels	2262-8401		2012	HS	0Supplément	2015	Vol. XVIII	51	http://www.cairn.info/revue-internationale-de-psychosociologie-de-gestion-des-comportements-organisationnels.htm	ESKA		revue-internationale-de-psychosociologie-de-gestion-des-comportements-organisationnels												
Revue Internationale des Sciences Administratives	0303-965X		2005	Vol .73	01	2014	Vol. 80	04	http://www.cairn.info/revue-internationale-des-sciences-administratives.htm	I.I.S.A.		revue-internationale-des-sciences-administratives												
Revue internationale des sciences sociales 	0304-3037	2222-4610	2001	n° 167	01	2010	n° 196	04	http://www.cairn.info/revue-internationale-des-sciences-sociales.htm	ERES		revue-internationale-des-sciences-sociales												
Revue internationale et stratégique	1287-1672	2104-3876	2001	n° 41	01	2015	N°69	04	http://www.cairn.info/revue-internationale-et-strategique.htm	Armand Colin / Dunod		revue-internationale-et-strategique												
Journal de gestion et d'économie médicales	2262-5305		2008	Vol. 29	01	2014	Volume 29	08	http://www.cairn.info/revue-journal-de-gestion-et-d-economie-medicales.htm	ESKA		revue-journal-de-gestion-et-d-economie-medicales												
Journal de la psychanalyse de l'enfant	0994-7949	2264-590X	2011	Vol. 1	01	2014	Vol. 4	02	http://www.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant.htm	Presses Universitaires de France		revue-journal-de-la-psychanalyse-de-l-enfant												
Journal de la Société des Océanistes	0300-953X	1760-7256	2012	n° 134	01	2014	n° 138-139	02	http://www.cairn.info/revue-journal-de-la-societe-des-oceanistes.htm	Société des océanistes		revue-journal-de-la-societe-des-oceanistes												
Journal du droit des jeunes	2114-2068	2259-6003	2001	N° 201	01	2015	N° 342	10	http://www.cairn.info/revue-journal-du-droit-des-jeunes.htm	Association jeunesse et droit		revue-journal-du-droit-des-jeunes												
Journal français de psychiatrie	1260-5999	1776-2855	2001	n° 24	01	2011	n° 40	04	http://www.cairn.info/revue-journal-francais-de-psychiatrie.htm	ERES		revue-journal-francais-de-psychiatrie												
Journal International de Bioéthique	1287-7352	2102-5169	2001	Vol. 12	01	2014	Vol. 25	04	http://www.cairn.info/revue-journal-international-de-bioethique.htm	ESKA		revue-journal-international-de-bioethique												
Journal of Innovation Economics et Management	2032-5355		2008	n° 1	01	2015	n°9	03	http://www.cairn.info/revue-journal-of-innovation-economics.htm	De Boeck Supérieur		revue-journal-of-innovation-economics												
L'Année balzacienne 	0084-6473	1969-6752	2000	n° 1	01	2014	n°8	01	http://www.cairn.info/revue-l-annee-balzacienne.htm	Presses Universitaires de France		revue-l-annee-balzacienne												
L'Année psychanalytique internationale	1661-8009	2273-1598	2007	Volume 2007	01	2014	Volume 2014	01	http://www.cairn.info/revue-l-annee-psychanalytique-internationale.htm	In Press		revue-l-annee-psychanalytique-internationale												
L'Année sociologique	0066-2399	1969-6760	2001	Vol. 51	01	2014	Vol.51	02	http://www.cairn.info/revue-l-annee-sociologique.htm	Presses Universitaires de France		revue-l-annee-sociologique												
L'Autre	1626-5378	2259-4566	2000	Volume 1	01	2014	Volume. 9	03	http://www.cairn.info/revue-l-autre.htm	La Pensée sauvage		revue-l-autre												
L'Économie politique	1293-6146	1965-0612	2001	n° 10	01	2015	n°38	04	http://www.cairn.info/revue-l-economie-politique.htm	Altern. économiques		revue-l-economie-politique												
L'en-je lacanien	1761-2861	1951-6231	2003	n° 1	01	2014	n° 9	02	http://www.cairn.info/revue-l-en-je-lacanien.htm	ERES		revue-l-en-je-lacanien												
L'Europe en Formation	0014-2808		2008	n° 349 - 350	01	2014	n° 373	04	http://www.cairn.info/revue-l-europe-en-formation.htm	Centre international de formation européenne		revue-l-europe-en-formation												
L'Expansion Management Review	1254-3179	2271-7749	2005	N° 116	01	2014	N° 155	04	http://www.cairn.info/revue-l-expansion-management-review.htm	L'Express - Roularta		revue-l-expansion-management-review												
L'Homme	0439-4216	1953-8103	2001	n° 157	01	2015	n°206	04	http://www.cairn.info/revue-l-homme.htm	Éditions de l'EHESS		revue-l-homme												
L'Homme et la société	0018-4306	2101-0226	2001	n° 139	01	2014	n° 192	04	http://www.cairn.info/revue-l-homme-et-la-societe.htm	L'Harmattan		revue-l-homme-et-la-societe												
L'Information géographique 	0020-0093	1777-5876	2006	Vol. 70	01	2014	Vol. 78	04	http://www.cairn.info/revue-l-information-geographique.htm	Armand Colin / Dunod		revue-l-information-geographique												
L'information littéraire	0020-0123	1961-8689	2001	Vol. 53	01	2008	Vol. 60	04	http://www.cairn.info/revue-l-information-litteraire.htm	Les Belles lettres		revue-l-information-litteraire												
L'information psychiatrique	0020-0204	1952-4056	2006	Volume 82	01	2015	Volume 91	10	http://www.cairn.info/revue-l-information-psychiatrique.htm	John Libbey Eurotext		revue-l-information-psychiatrique												
La clinique lacanienne	1288-6629	1776-2782	2001	n° 10	01	2014	n°20	02	http://www.cairn.info/revue-la-clinique-lacanienne.htm	ERES		revue-la-clinique-lacanienne												
La linguistique	0075-966X	2101-0234	2001	Vol. 37	01	2014	Vol. 50	02	http://www.cairn.info/revue-la-linguistique.htm	Presses Universitaires de France		revue-la-linguistique												
La nouvelle revue de l'adaptation et de la scolarisation	1957-0341		2008	N° 41	01	2014	N° 68	04	http://www.cairn.info/revue-la-nouvelle-revue-de-l-adaptation-et-de-la-scolarisation.htm	I.N.S.H.E.A.		revue-la-nouvelle-revue-de-l-adaptation-et-de-la-scolarisation												
La pensée de midi	1621-5338	1950-604X	2000	Hors série	01	2010	N° 9	04	http://www.cairn.info/revue-la-pensee-de-midi.htm	Actes sud		revue-la-pensee-de-midi												
La psychiatrie de l'enfant	0079-726X	2102-5320	2001	Vol. 44	01	2014	Vol. 57	02	http://www.cairn.info/revue-la-psychiatrie-de-l-enfant.htm	Presses Universitaires de France		revue-la-psychiatrie-de-l-enfant												
La revue internationale de l'éducation familiale	1279-7766	1968-388X	2006	n° 19	01	2014	n° 35	02	http://www.cairn.info/revue-la-revue-internationale-de-l-education-familiale.htm	L'Harmattan		revue-la-revue-internationale-de-l-education-familiale												
La revue lacanienne	1967-2055	2109-9553	2007	n° 1	01	2014	n° 9	04	http://www.cairn.info/revue-la-revue-lacanienne.htm	ERES		revue-la-revue-lacanienne												
Labyrinthe	1288-6289	1950-6031	2012	n° 38	01	2013	n° 40	02	http://www.cairn.info/revue-labyrinthe.htm	Hermann		revue-labyrinthe												
Laennec	1272-520X	2262-483X	2002	Tome 50	01	2015	Tome 63	04	http://www.cairn.info/revue-laennec.htm	Centre Laennec		revue-laennec												
Langage et société	0181-4095	2101-0382	2000	n° 100	01	2015	n° 150	04	http://www.cairn.info/revue-langage-et-societe.htm	Éditions de la Maison des sciences de l'homme		revue-langage-et-societe												
Langages	0458-726X	1958-9549	2004	n° 153	01	2014	N° 196	04	http://www.cairn.info/revue-langages.htm	Armand Colin / Dunod		revue-langages												
Langue française	0023-8368	1957-7982	2004	n° 144	01	2014	n°180	04	http://www.cairn.info/revue-langue-francaise.htm	Armand Colin / Dunod		revue-langue-francaise												
Le Carnet PSY	2270-9215	2107-0954	2001	n° 100	01	2015	n° 99	09	http://www.cairn.info/revue-le-carnet-psy.htm	Editions Cazaubon		revue-le-carnet-psy												
Le Coq-héron	0335-7899	1951-6290	2002	n° 168	01	2014	n° 219	04	http://www.cairn.info/revue-le-coq-heron.htm	ERES		revue-le-coq-heron												
Le Courrier des pays de l'Est	0590-0239	1777-5787	2003	n° 1043	01	2008	n° 1067	10	http://www.cairn.info/revue-le-courrier-des-pays-de-l-est.htm	La Doc. française		revue-le-courrier-des-pays-de-l-est												
Le Débat	0246-2346	2111-4587	1980	n° 1	01	2015	n° 99	10	http://www.cairn.info/revue-le-debat.htm	Gallimard		revue-le-debat												
Le Divan familial	1292-668X	2118-1942	2001	N° 10	01	2014	N° 9	02	http://www.cairn.info/revue-le-divan-familial.htm	In Press		revue-le-divan-familial												
Le français aujourd'hui	0184-7732	2107-0857	2001	n° 132	01	2014	n°HS01	05	http://www.cairn.info/revue-le-francais-aujourd-hui.htm	Armand Colin / Dunod		revue-le-francais-aujourd-hui												
Le journal de l'école de Paris du management	1253-2711	2118-4585	2004	N° 100	01	2015	n°90	06	http://www.cairn.info/revue-le-journal-de-l-ecole-de-paris-du-management.htm	Association des amis de l'Ecole de Paris		revue-le-journal-de-l-ecole-de-paris-du-management												
Le Journal des psychologues	0752-501X	2118-3015	2006	248	01	2015	n°289	10	http://www.cairn.info/revue-le-journal-des-psychologues.htm	Martin Média		revue-le-journal-des-psychologues												
Le Mouvement Social	0027-2671	1961-8646	2001	n° 195	01	2015	n° 250	04	http://www.cairn.info/revue-le-mouvement-social.htm	La Découverte		revue-le-mouvement-social												
Le Moyen Age	0027-2841	1782-1436	2001	Tome CIX	01	2014	Tome CXX	03	http://www.cairn.info/revue-le-moyen-age.htm	De Boeck Supérieur		revue-le-moyen-age												
Le Philosophoire	1283-7091	1968-3839	1999	n° 11	01	2014	n° 9	03	http://www.cairn.info/revue-le-philosophoire.htm	Vrin		revue-le-philosophoire												
Le sociographe	1297-6628	2107-0636	2008	Hors-série 5	01	2014	n° 48	05	http://www.cairn.info/revue-le-sociographe.htm	Champ social		revue-le-sociographe												
Le sujet dans la cité	2112-7689		2014	Actuels n° 3	01	2014	N° 5	02	http://www.cairn.info/revue-le-sujet-dans-la-cite.htm	L'Harmattan		revue-le-sujet-dans-la-cite												
Le Télémaque	1263-588X	2118-2191	2001	n ° 24	01	2014	n° 46	02	http://www.cairn.info/revue-le-telemaque.htm	Presses universitaires de Caen		revue-le-telemaque												
Le Temps des médias	1764-2507	2104-3671	2003	n° 1	01	2014	n° 9	02	http://www.cairn.info/revue-le-temps-des-medias.htm	Nouveau Monde éditions		revue-le-temps-des-medias												
Le travail humain	0041-1868	2104-3663	2001	Vol. 64	01	2014	Vol. 77	04	http://www.cairn.info/revue-le-travail-humain.htm	Presses Universitaires de France		revue-le-travail-humain												
LEGICOM	1244-9288	2272-8090	1995	N° 10	01	2014	N° 9	04	http://www.cairn.info/revue-legicom.htm	Victoires éditions		revue-legicom												
Les Cahiers d'Outre Mer	0373-5834	1961-8603	2011	n° 253-254	01	2014	n° 266	04	http://www.cairn.info/revue-les-cahiers-d-outre-mer.htm	Presses univ. de Bordeaux		revue-les-cahiers-d-outre-mer												
Les Cahiers de la Shoah	1262-0386	1965-0523	2001	n° 5	01	2007	n° 9	01	http://www.cairn.info/revue-les-cahiers-de-la-shoah.htm	Les Belles lettres		revue-les-cahiers-de-la-shoah												
Les cahiers de médiologie	1777-5604		1996	N° 1	01	2003	N° 9	02	http://www.cairn.info/revue-les-cahiers-de-mediologie.htm	Gallimard		revue-les-cahiers-de-mediologie												
Les Cahiers du Centre Georges Canguilhem	1962-1086	2259-5309	2007	N° 1	01	2014	N° 6	01	http://www.cairn.info/revue-les-cahiers-du-centre-georges-canguilhem.htm	Presses Universitaires de France		revue-les-cahiers-du-centre-georges-canguilhem												
Les Cahiers du numérique	1622-1494	2111-434X	2001	Vol. 10	0	2014	Vol. 9	04	http://www.cairn.info/revue-les-cahiers-du-numerique.htm	Lavoisier		revue-les-cahiers-du-numerique												
Les Cahiers Dynamiques	1276-3780	2109-9545	2005	Hors-série	01	2014	n° 60	0HS	http://www.cairn.info/revue-les-cahiers-dynamiques.htm	ERES		revue-les-cahiers-dynamiques												
Les Cahiers Internationaux de Psychologie Sociale	0777-0707		2004	Numéro 101	01	2014	Numéro 99-100	04	http://www.cairn.info/revue-les-cahiers-internationaux-de-psychologie-sociale.htm	Presses universitaires de Liège		revue-les-cahiers-internationaux-de-psychologie-sociale												
Les cahiers Irice	1967-2713	2118-0067	2008	n° 10	01	2014	n°8	02	http://www.cairn.info/revue-les-cahiers-irice.htm	IRICE		revue-les-cahiers-irice												
Les Enjeux de l'information et de la communication	1778-4239		2001	Dossier 2009	0	2013	Volume 2003	02	http://www.cairn.info/revue-les-enjeux-de-l-information-et-de-la-communication.htm	GRESEC		revue-les-enjeux-de-l-information-et-de-la-communication												
Les Études philosophiques	0014-2166	2101-0056	2001	n° 100	01	2015	n° 99	04	http://www.cairn.info/revue-les-etudes-philosophiques.htm	Presses Universitaires de France		revue-les-etudes-philosophiques												
Les Nouveaux Cahiers du Conseil constitutionnel	2112-2679	1968-3820	2010	N ° 31	01	2015	N° 46	04	http://www.cairn.info/revue-les-nouveaux-cahiers-du-conseil-constitutionnel.htm	Lextenso		revue-les-nouveaux-cahiers-du-conseil-constitutionnel												
Les Sciences de l'éducation - Pour l'Àre nouvelle	0755-9593	2259-3764	2005	Vol. 38	01	2014	Vol. 47	04	http://www.cairn.info/revue-les-sciences-de-l-education-pour-l-ere-nouvelle.htm	CERSE - Université de Caen		revue-les-sciences-de-l-education-pour-l-ere-nouvelle												
