publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subtype	subjects	frequency	aspp	iel	ibm	tup	biai	mitp	nokia_bell_labs	oa	csdl	stem10	stem25	stem45	smpteall	smptejnl	agu	
"IEEE Transactions on Signal Processing"	1053-587X	1941-0476	1991	39	1				https://ieeexplore.ieee.org/servlet/opac?punumber=78		78		fulltext		IEEE	Serial							29	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing	24	*	*														
"IEEE Transactions on Smart Grid"	1949-3053	1949-3061	2010	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5165411		5165411		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Power, Energy and Industry Applications	6	*	*														
"IEEE Transactions on Software Engineering"	0098-5589	1939-3520	1975	SE-1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=32		32		fulltext		IEEE	Serial								P	Journal	Computing and Processing	12	*	*							*							
"IEEE Transactions on Sonics and Ultrasonics"	0018-9537	2162-1403	1964	11	1	1985	32	6	https://ieeexplore.ieee.org/servlet/opac?punumber=10326		10326		fulltext		IEEE	Serial							10325	P	Journal	Fields, Waves and Electromagnetics	6		*														
"IEEE Transactions on Space Electronics and Telemetry"	0096-2414	2374-9539	1963	9	1	1965	SET-11	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4335581		4335581		fulltext		IEEE	Serial							5008109,5483689,5008636	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Fields, Waves and Electromagnetics	4		*														
"IEEE Transactions on Speech and Audio Processing"	1063-6676	1558-2353	1993	1	1	2005	13	6	https://ieeexplore.ieee.org/servlet/opac?punumber=89		89		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing	6	*	*														
"IEEE Transactions on Sustainable Computing"		2377-3782	2016	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7274860		7274860		fulltext		IEEE	Serial								P	Journal	Computing and Processing	4	*	*							*							
"IEEE Transactions on Sustainable Energy"	1949-3029	1949-3037	2010	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5165391		5165391		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Geoscience; Computing and Processing	4	*	*														
"IEEE Transactions on Systems Science and Cybernetics"	0536-1567	2168-2887	1965	1	1	1970	6	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4082035		4082035		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Robotics and Control Systems; Power, Energy and Industry Applications	4		*														
"IEEE Transactions on Systems, Man, and Cybernetics"	0018-9472	2168-2909	1971	SMC-1	1	1995	25	12	https://ieeexplore.ieee.org/servlet/opac?punumber=21		21		fulltext		IEEE	Serial							4082035,4081845	P	Journal	Signal Processing and Analysis; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Communication, Networking and Broadcast Technologies; Robotics and Control Systems; Power, Energy and Industry Applications	12		*														
"IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans"	1083-4427	1558-2426	1996	26	1	2012	42	6	https://ieeexplore.ieee.org/servlet/opac?punumber=3468		3468		fulltext		IEEE	Serial							21	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Power, Energy and Industry Applications; General Topics for Engineers	6	*	*														
"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)"	1083-4419	1941-0492	1996	26	1	2012	42	6	https://ieeexplore.ieee.org/servlet/opac?punumber=3477		3477		fulltext		IEEE	Serial							21	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Robotics and Control Systems; Power, Energy and Industry Applications	6	*	*														
"IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)"	1094-6977	1558-2442	1998	28	1	2012	42	6	https://ieeexplore.ieee.org/servlet/opac?punumber=5326		5326		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Power, Energy and Industry Applications; Robotics and Control Systems	6	*	*														
"IEEE Transactions on Systems, Man, and Cybernetics: Systems"	2168-2216	2168-2232	2013	43	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6221021		6221021		fulltext		IEEE	Serial							3468	P	Journal	Signal Processing and Analysis; Robotics and Control Systems; Power, Energy and Industry Applications; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers	12	*	*														
"IEEE Transactions on Technology and Society"		2637-6415	2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8566059		8566059		fulltext		IEEE	Serial								P	Journal	Engineering Profession; General Topics for Engineers	4	*	*														
"IEEE Transactions on Terahertz Science and Technology"	2156-342X	2156-3446	2011	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5503871		5503871		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	2	*	*														
"IEEE Transactions on Transportation Electrification"		2332-7782	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6687316		6687316		fulltext		IEEE	Serial								P	Journal	Transportation; Aerospace; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	4	*	*														
"IEEE Transactions on Ultrasonics Engineering"	0893-6706	2162-1373	1963	10	1	1963	10	3	https://ieeexplore.ieee.org/servlet/opac?punumber=10325		10325		fulltext		IEEE	Serial							10324	P	Journal	Fields, Waves and Electromagnetics	10		*														
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control"	0885-3010	1525-8955	1986	33	1				https://ieeexplore.ieee.org/servlet/opac?punumber=58		58		fulltext		IEEE	Serial							10326	P	Journal	Fields, Waves and Electromagnetics	12	*	*														
"IEEE Transactions on Vehicular Communications"	0096-2503	2151-6278	1963	12	1	1966	15	2	https://ieeexplore.ieee.org/servlet/opac?punumber=10785		10785		fulltext		IEEE	Serial							10784	P	Journal	Transportation; Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Components, Circuits, Devices and Systems	2		*														
"IEEE Transactions on Vehicular Technology"	0018-9545	1939-9359	1967	16	1				https://ieeexplore.ieee.org/servlet/opac?punumber=25		25		fulltext		IEEE	Serial							10785	P	Journal	Transportation; Aerospace	9	*	*														
"IEEE Transactions on Very Large Scale Integration (VLSI) Systems"	1063-8210	1557-9999	1993	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=92		92		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	12	*	*							*							
"IEEE Transactions on Visualization and Computer Graphics"	1077-2626	1941-0506	1995	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=2945		2945		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Bioengineering; Signal Processing and Analysis	12	*	*							*							
"IEEE Transactions on Wireless Communications"	1536-1276	1558-2248	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7693		7693		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	6	*	*														
"IEEE Translation Journal on Magnetics in Japan"	0882-4959	2375-0545	1985	1	1	1994	9	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4509580		4509580		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	6		*														
"IEEE Vehicular Technology Magazine"	1556-6072	1556-6080	2006	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=10209		10209		fulltext		IEEE	Serial								P	Journal	Transportation; Aerospace; Computing and Processing; Robotics and Control Systems	4	*	*										*				
"IEEE Wireless Communications"	1536-1284	1558-0687	2002	9	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7742		7742		fulltext		IEEE	Serial							98	P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	6	*	*										*				
"IEEE Wireless Communications Letters"	2162-2337	2162-2345	2012	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5962382		5962382		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	2	*	*														
"IEEE Women in Engineering Magazine"	1942-065X	1942-0668	2007	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4509581		4509581		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession	2		*										*				
"IEEE/ACM Transactions on Audio, Speech, and Language Processing"	2329-9290	2329-9304	2014	22	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6570655		6570655		fulltext		IEEE	Serial							10376	P	Journal	Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies; General Topics for Engineers	1	*	*														
"IEEE/ACM Transactions on Computational Biology and Bioinformatics"	1545-5963	1557-9964	2004	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8857		8857		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing	6	*	*							*							
"IEEE/ACM Transactions on Networking"	1063-6692	1558-2566	1993	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=90		90		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	6	*	*							*							
"IEEE/ASME Transactions on Mechatronics"	1083-4435	1941-014X	1996	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=3516		3516		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	6	*	*														
"IEEE/CAA Journal of Automatica Sinica"	2329-9266	2329-9274	2014	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6570654		6570654		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; General Topics for Engineers; Robotics and Control Systems	6	*	*														
"IEEE/OSA Journal of Optical Communications and Networking"	1943-0620	1943-0639	2009	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4563700		4563700		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Photonics and Electrooptics	4	*	*														
"IMA Journal of Applied Mathematics"	0272-4960	1464-3634	1996	56	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016796		8016796		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	6																
"IMA Journal of Management Mathematics"	1471-678X	1471-6798	1996	7	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016797		8016797		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"IMA Journal of Mathematical Control and Information"	0265-0754	1471-6887	1996	13	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016798		8016798		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"IMA Journal of Numerical Analysis"	0272-4979	1464-3642	1996	16	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016799		8016799		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Information and Inference: A Journal of the IMA"	2049-8764	2049-8772	2012	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016800		8016800		fulltext		OUP	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4																
"Information Professional"	1743-694X		2004	1	1	2007	4	6	https://ieeexplore.ieee.org/servlet/opac?punumber=5305931		5305931		fulltext		IET	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems			*														
"Intelligent and Converged Networks"	2708-6240		2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9195266		9195266		fulltext		TUP	Serial								F	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing	4								*								
"Interacting with Computers"	0953-5438	1873-7951	1996	8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016801		8016801		fulltext		OUP	Serial								P	Journal	Computing and Processing	6																
"International Mathematics Research Notices"	1073-7928	1687-0247	1995	1995	12				https://ieeexplore.ieee.org/servlet/opac?punumber=8016802		8016802		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	24																
"IRE Professional Group on Antennas and Propagation Newsletter"	2168-0523	2168-0515	1958	1	1	1962	5	2	https://ieeexplore.ieee.org/servlet/opac?punumber=8235		8235		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	2		*														
"IRE Transactions on Aeronautical and Navigational Electronics"	0096-1639	2331-0804	1955	ANE-2	1	1960	ANE-7	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4201388		4201388		fulltext		IEEE	Serial							5062323,4335619	P	Journal	Aerospace; Transportation	4		*														
"IRE Transactions on Aerospace and Navigational Electronics"	0096-1647	2331-0812	1961	ANE-8	1	1962	ANE-9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5483689		5483689		fulltext		IEEE	Serial							4201388	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4		*														
"IRE Transactions on Antennas and Propagation"	0096-1973	1558-3643	1955	3	2	1962	10	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8234		8234		fulltext		IEEE	Serial							8236	P	Journal	Fields, Waves and Electromagnetics	12		*														
"IRE Transactions on Audio"	0096-1981	2168-2984	1955	AU-3	2	1962	AU-10	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8335		8335		fulltext		IEEE	Serial							8340	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	6		*														
"IRE Transactions on Automatic Control"	0096-199X	1558-3651	1956	1	1	1962	7	5	https://ieeexplore.ieee.org/servlet/opac?punumber=8163		8163		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Robotics and Control Systems; Transportation	5		*														
"IRE Transactions on Bio-Medical Electronics"	0096-1884	2168-0817	1961	8	1	1962	9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4322768		4322768		fulltext		IEEE	Serial							5007879	P	Journal	Bioengineering; Components, Circuits, Devices and Systems; Robotics and Control Systems; Computing and Processing	4		*														
"IRE Transactions on Broadcast and Television Receivers"	0096-1655	2168-1635	1955	BTR-1	1	1962	BTR-8	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4502897		4502897		fulltext		IEEE	Serial							4505045	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis	3		*														
"IRE Transactions on Broadcast Transmission Systems"	0099-6866		1955	PGBTS-1	1	1958	PGBTS-12	1	https://ieeexplore.ieee.org/servlet/opac?punumber=4505116		4505116		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis	3		*														
"IRE Transactions on Broadcasting"	0096-1663		1959	PGBC-13	0	1962	BC-8	1	https://ieeexplore.ieee.org/servlet/opac?punumber=4501502		4501502		fulltext		IEEE	Serial							4505116	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis	1		*														
"IRE Transactions on Circuit Theory"	0096-2007	2331-3854	1954	1	1	1962	9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8148		8148		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	4		*														
"IRE Transactions on Communications Systems"	0096-2244	2162-2132	1956	4	1	1962	10	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4547465		4547465		fulltext		IEEE	Serial							8161	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4		*														
"IRE Transactions on Component Parts"	0096-2422	2168-1708	1955	3	1	1962	9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8222		8222		fulltext		IEEE	Serial							8219	P	Journal	Components, Circuits, Devices and Systems	4		*														
"IRE Transactions on Education"	0893-7141		1958	1	1	1962	E-5	3/4	https://ieeexplore.ieee.org/servlet/opac?punumber=4321999		4321999		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession	3		*														
"IRE Transactions on Electron Devices"	0096-2430	2379-8661	1955	2	1	1962	9	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4639142		4639142		fulltext		IEEE	Serial							4639141	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	6		*														
"IRE Transactions on Electronic Computers"	0367-9950		1955	EC-4	1	1962	EC-11	6	https://ieeexplore.ieee.org/servlet/opac?punumber=5407885		5407885		fulltext		IEEE	Serial							5407679	P	Journal	Computing and Processing	6		*														
"IRE Transactions on Engineering Management"	0096-2252	2331-0820	1955	PGEM-3		1962	EM-9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5007355		5007355		fulltext		IEEE	Serial							5010148	P	Journal	Engineering Profession; General Topics for Engineers	4		*														
"IRE Transactions on Engineering Writing and Speech"	0893-7869	2331-3692	1958	1	1	1962	5	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4322631		4322631		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession	1		*														
"IRE Transactions on Human Factors in Electronics"	0099-4561	2168-2836	1960	HFE-1	1	1962	HFE-3	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4503253		4503253		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Robotics and Control Systems; Power, Energy and Industry Applications	2		*														
"IRE Transactions on Industrial Electronics"	0197-5706	2331-0839	1955	PGIE-2		1962	IE-9	2	https://ieeexplore.ieee.org/servlet/opac?punumber=5007029		5007029		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	2		*														
"IRE Transactions on Information Theory"	0096-1000	2168-2712	1955	1	1	1962	8	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4547527		4547527		fulltext		IEEE	Serial							4547596	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis; Computing and Processing	6		*														
"IRE Transactions on Instrumentation"	0096-2260	2168-1902	1955	PGI-4		1962	I-11	3/4	https://ieeexplore.ieee.org/servlet/opac?punumber=5006544		5006544		fulltext		IEEE	Serial							5007309	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	3		*														
"IRE Transactions on Medical Electronics"	0097-1049	2168-0795	1955	PGME-2		1960	ME-7	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5007879		5007879		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	4		*														
"IRE Transactions on Microwave Theory and Techniques"	0097-2002	2331-088X	1955	3	2	1962	10	6	https://ieeexplore.ieee.org/servlet/opac?punumber=4547924		4547924		fulltext		IEEE	Serial							4547925	P	Journal	Fields, Waves and Electromagnetics	6		*														
"IRE Transactions on Military Electronics"	0096-2511	2331-1630	1957	MIL-1	1	1962	MIL-6	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5008109		5008109		fulltext		IEEE	Serial								P	Journal	Aerospace; Transportation; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	4		*														
"IRE Transactions on Nuclear Science"	0096-2015	2374-9814	1955	2	1	1962	9	5	https://ieeexplore.ieee.org/servlet/opac?punumber=4315440		4315440		fulltext		IEEE	Serial							6449343	P	Journal	Nuclear Engineering; Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing	5		*														
"IRE Transactions on Product Engineering and Production"	0096-1760		1961	5	1	1962	6	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8223		8223		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	4		*														
"IRE Transactions on Production Techniques"	0096-1779	2331-1649	1956	1	1	1959	6	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8220		8220		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	1		*														
"IRE Transactions on Radio Frequency Interference"	0099-4545		1959	RFI-1	1	1962	RFI-4	3	https://ieeexplore.ieee.org/servlet/opac?punumber=6507928		6507928		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	3		*														
"IRE Transactions on Reliability and Quality Control"	0097-4552	2168-2801	1955	PGRQC-5		1962	RQC-11	3	https://ieeexplore.ieee.org/servlet/opac?punumber=5007123		5007123		fulltext		IEEE	Serial							5007112,5007101	P	Journal	Signal Processing and Analysis; Power, Energy and Industry Applications	3		*														
"IRE Transactions on Space Electronics and Telemetry"	0096-252X	2331-1657	1959	SET-5	1	1962	SET-8	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5008636		5008636		fulltext		IEEE	Serial							6459057	P	Journal	Aerospace; Transportation; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	4		*														
"IRE Transactions on Telemetry and Remote Control"	0096-2538		1955	TRC-1	1	1958	TRC-4	1	https://ieeexplore.ieee.org/servlet/opac?punumber=6459057		6459057		fulltext		IEEE	Serial							5062323,4335619	P	Journal	Aerospace; Fields, Waves and Electromagnetics; Robotics and Control Systems; Transportation	1		*														
"IRE Transactions on Ultrasonic Engineering"	0096-1019	2162-1349	1955	PGUE-3		1962	9	2	https://ieeexplore.ieee.org/servlet/opac?punumber=10324		10324		fulltext		IEEE	Serial							10323	P	Journal	Fields, Waves and Electromagnetics	2		*														
"IRE Transactions on Vehicular Communications"	0097-6628	2151-626X	1955	PGVC-5		1962	VC-11	1	https://ieeexplore.ieee.org/servlet/opac?punumber=10784		10784		fulltext		IEEE	Serial							10783	P	Journal	Transportation; Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Components, Circuits, Devices and Systems	2		*														
"IT Professional"	1520-9202	1941-045X	1999	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6294		6294		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Engineering Profession; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	6	*	*							*	*	*	*				
"ITNOW"	1746-5702	1746-5710	1996	38	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016803		8016803		fulltext		OUP	Serial								P	Journal	Computing and Processing	4																
"Journal of Cognitive Neuroscience"	0898-929X		1989	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720218		6720218		fulltext		MIT Press	Serial								P	Journal	Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	12						*										
"Journal of Communications and Information Networks"	2096-1081	2509-3312	2016	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8892389		8892389		fulltext		PTP	Serial								P	Journal	Communication, Networking and Broadcast Technologies	4		*														
"Journal of Communications and Networks"	1229-2370	1976-5541	1999	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5449605		5449605		fulltext		KICS	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	6																
"Journal of Complex Networks"	2051-1310	2051-1329	2013	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016804		8016804		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Journal of Display Technology"	1551-319X	1558-9323	2005	1	1	2016	12	12	https://ieeexplore.ieee.org/servlet/opac?punumber=9425		9425		fulltext		IEEE	Serial								P	Journal	Photonics and Electrooptics	12	*	*														
"Journal of Lightwave Technology"	0733-8724	1558-2213	1983	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=50		50		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Photonics and Electrooptics	24	*	*														
"Journal of Logic and Computation"	0955-792X	1465-363X	1996	6	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016805		8016805		fulltext		OUP	Serial								P	Journal	Computing and Processing; General Topics for Engineers	6																
"Journal of Microelectromechanical Systems"	1057-7157	1941-0158	1992	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=84		84		fulltext		IEEE	Serial								P	Journal	Engineered Materials, Dielectrics and Plasmas; Components, Circuits, Devices and Systems	6	*	*														
"Journal of Modern Power Systems and Clean Energy"	2196-5625	2196-5420	2013	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8685265		8685265		fulltext		SGEPRI	Serial								F	Journal	Power, Energy and Industry Applications	6								*								
"Journal of Petrology"	0022-3530	1460-2415	1996	37	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016806		8016806		fulltext		OUP	Serial								P	Journal	Geoscience	12																
"Journal of Radiation Research"	0449-3060	1349-9157	1996	37	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016807		8016807		fulltext		OUP	Serial								P	Journal	Fields, Waves and Electromagnetics; Bioengineering	6																
"Journal of Social Computing"		2688-5255	2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8964404		8964404		fulltext		TUP	Serial								F	Journal	Computing and Processing	4								*								
"Journal of Systems Engineering and Electronics"		1004-4132	1990	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5971804		5971804		fulltext		BIAI	Serial								F	Journal	Aerospace	6					*			*								
"Journal of Technology Computer Aided Design TCAD"		1097-2102	1996			1996			https://ieeexplore.ieee.org/servlet/opac?punumber=6414145		6414145		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Components, Circuits, Devices and Systems; Communication, Networking and Broadcast Technologies			*														
"Journal of the A.I.E.E."	0095-9804	2376-5976	1924	43	1	1930	49	12	https://ieeexplore.ieee.org/servlet/opac?punumber=6528086		6528086		fulltext		IEEE	Serial							6530802	P	Journal	General Topics for Engineers; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; Power, Energy and Industry Applications; Signal Processing and Analysis; Transportation	12		*														
"Journal of the American Institute of Electrical Engineers"	0360-6449	2376-7723	1920	39	1	1923	42	12	https://ieeexplore.ieee.org/servlet/opac?punumber=6530802		6530802		fulltext		IEEE	Serial							6530810	P	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems			*														
"Journal of the ICRU"	1473-6691	1742-3422	1996	os28	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016808		8016808		fulltext		OUP	Serial								P	Journal	Fields, Waves and Electromagnetics	2																
"Journal of the SMPTE"	0361-4573		1956	65	1	1975	84	12	https://ieeexplore.ieee.org/servlet/opac?punumber=7225230		7225230		fulltext		SMPTE	Serial							7254262	P	Journal	Communication, Networking and Broadcast Technologies; Aerospace; Components, Circuits, Devices and Systems; Computing and Processing; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Engineered Materials, Dielectrics and Plasmas	12													*	*		
"Journal of the Society of Motion Picture and Television Engineers"	0898-042X		1950	54	1	1954	63	6	https://ieeexplore.ieee.org/servlet/opac?punumber=7251107		7251107		fulltext		SMPTE	Serial							7226733	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Engineering Profession; General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation	12													*	*		
