publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"Bulletin of the Judge Advocate General of the Army"			1942			1951			http://heinonline.org/HOL/Index?index=journals/bujuarm&collection=journals		bujuarm		fulltext			serial								P	
"Bulletin of the National Tax Association"			1916			1947			http://heinonline.org/HOL/Index?index=journals/bulnta&collection=journals		bulnta		fulltext			serial								P	
"Bulletin on Current Research in Soviet and East European Law"			1970			2012			http://heinonline.org/HOL/Index?index=journals/bcresee&collection=journals		bcresee		fulltext		"University of Toronto Press"	serial								P	3
"Business & Bankruptcy Law Journal"			2014						http://heinonline.org/HOL/Index?index=journals/bublj&collection=journals		bublj		fulltext		"Texas Tech University School of Law"	serial								P	2
"Business Information Alert"	1042-0746		1989			2011			http://heinonline.org/HOL/Index?index=journals/busiale&collection=journals		busiale		fulltext		"Alert Publications"	serial								P	8
"Business Law International"	1467632X		1999			2003			http://heinonline.org/HOL/Index?index=journals/blawintnl&collection=journals		blawintnl	P1Y	fulltext		"International Bar Association"	serial								P	3
"Business Law Journal"			1923			1932			http://heinonline.org/HOL/Index?index=journals/buslj&collection=journals		buslj		fulltext		"American Bar Association"	serial								P	
"Business Law Today"	1059-9436		2010			2013			http://heinonline.org/HOL/Index?index=journals/busiltom&collection=journals		busiltom	P2Y	fulltext		"American Bar Association"	serial								P	12
"Business Lawyer (ABA)"	0007-6899		1946			2013			http://heinonline.org/HOL/Index?index=journals/busl&collection=journals		busl	P2Y	fulltext		"American Bar Association"	serial								P	4
Business Lawyer Update 			1980	1		1992	12		http://heinonline.org/HOL/Index?index=journals/buslwme		buslwme		fulltext			serial								P	
"Butterworths South African Law Review"			1954			1957			http://heinonline.org/HOL/Index?index=journals/butsalr&collection=journals		butsalr		fulltext			serial								P	
"BYU Journal of Public Law"	0896-2383		1986						http://heinonline.org/HOL/Index?index=journals/byujpl&collection=journals		byujpl		fulltext		"Brigham Young University"	serial								P	2
Cahiers de Droit 	0007-974X		1954	1					http://heinonline.org/HOL/Index?index=journals/lcdd		lcdd		fulltext		Universite Laval	serial								P	4
"Caiete de Drept Penal"	1841-6047		2005						http://heinonline.org/HOL/Index?index=journals/crimlwr&collection=journals		crimlwr		fulltext		"Universul Juridic Publishing House"	serial								P	4
"Cal Law - Trends and Developments"			1967			1970			http://heinonline.org/HOL/Index?index=journals/callaw&collection=journals		callaw		fulltext			serial								P	
"California Courts Review"			2005			2009			http://heinonline.org/HOL/Index?index=external-journals/cactrv&collection=journals		cactrv		fulltext			serial								P	
California Law Journal 			1862	1	10	1863	2		http://heinonline.org/HOL/Index?index=journals/caliilrev		caliilrev		fulltext			serial								P	
"California Law Review"	0008-1221		1912						http://heinonline.org/HOL/Index?index=journals/calr&collection=journals		calr		fulltext		"University of California Berkeley School of Law"	serial								P	6
"California Legal History"	1930-4943		2006						http://heinonline.org/HOL/Index?index=journals/calegh&collection=journals		calegh		fulltext		"California Supreme Court Historical Society"	serial								P	1
"California Legal Record"			1878			1879			http://heinonline.org/HOL/Index?index=journals/calegre&collection=journals		calegre		fulltext			serial								P	
"California Regulatory Law Reporter"	0739-7860		1981			2001			http://heinonline.org/HOL/Index?index=journals/carel&collection=journals		carel		fulltext		"University of San Diego School of Law; Center for Public Interest Law"	serial								P	
"California Supreme Court Historical Society Yearbook"			1994			1999			http://heinonline.org/HOL/Index?index=journals/cashsy&collection=journals		cashsy		fulltext		"California Supreme Court Historical Society"	serial								P	1
"California Western International Law Journal"	0886-3210		1970						http://heinonline.org/HOL/Index?index=journals/calwi&collection=journals		calwi		fulltext		"California Western School of Law"	serial								P	2
"California Western Law Review"	0008-1639		1965						http://heinonline.org/HOL/Index?index=journals/cwlr&collection=journals		cwlr		fulltext		"California Western School of Law"	serial								P	2
"Cambrian Law Review"	0084-8328		1970			2012			http://heinonline.org/HOL/Index?index=journals/camblr&collection=journals		camblr	P1Y	fulltext		"University College of Wales"	serial								P	1
"Cambridge Journal of International and Comparative Law"	2050-1706		2012						http://heinonline.org/HOL/Index?index=journals/cajoincla&collection=journals		cajoincla		fulltext		"Cambridge University"	serial								P	4
"Cambridge Law Journal"	0008-1973		1921			2011			http://heinonline.org/HOL/Index?index=journals/camblj&collection=journals		camblj	P4Y	fulltext		"Cambridge University Press"	serial								P	3
"Cambridge Student Law Review"			2005			2011			http://heinonline.org/HOL/Index?index=journals/camslr&collection=journals		camslr		fulltext		"Cambridge University Press"	serial								P	2
"Campbell Law Review"	0198-8174		1979						http://heinonline.org/HOL/Index?index=journals/camplr&collection=journals		camplr		fulltext		"Campbell University School of Law"	serial								P	3
Upper Canada Law Journal 			1855	1		1864	3		http://heinonline.org/HOL/Index?index=journals/canljtns		canljtns		fulltext			serial								P	
Canada Law Journal: A Magazine of Jurisprudence 			1868	3		1868	4		http://heinonline.org/HOL/Index?index=journals/canljama		canljama		fulltext			serial								P	
"Canada-United States Law Journal"	0163-6391		1978						http://heinonline.org/HOL/Index?index=journals/canusa&collection=journals		canusa		fulltext		"Case Western Reserve University School of Law"	serial								P	2
"Canadian-American Law Journal"			1982			1988			http://heinonline.org/HOL/Index?index=journals/canam&collection=journals		canam		fulltext			serial								P	
Revue Canadienne du Droit de Commerce 	0319-3322		1975	1		2012	52		http://heinonline.org/HOL/Index?index=journals/canadbus		canadbus		fulltext		University of Toronto	serial								P	3
"Canadian Green Bag"			1895	1	1	1895	1		http://heinonline.org/HOL/Index?index=journals/cgb&collection=journals		cgb		fulltext			serial								P	
"Canadian Human Rights Yearbook"			1983			1992			http://heinonline.org/HOL/Index?index=journals/canhry&collection=journals		canhry		fulltext		"University of Ottawa Faculty of Law"	serial								P	
"Canadian Journal of Comparative and Contemporary Law"	2368-4046		2015	1	1				http://heinonline.org/HOL/Index?index=journals/cajccl&collection=journals		cajccl		fulltext		"Thompson Rivers University"	serial								P	1
Canadian Journal of Criminology and Criminal Justice 	1707-7753		2003	45		2012	54		http://heinonline.org/HOL/Index?index=journals/cjccj		cjccj	P3Y	fulltext		University of Toronto Press	serial								P	4
"Canadian Journal of Family Law"	0704-1225		1978						http://heinonline.org/HOL/Index?index=journals/cajfl&collection=journals		cajfl		fulltext		"University of British Columbia"	serial								P	2
"Canadian Journal of Human Rights"	1923-9211		2012						http://heinonline.org/HOL/Index?index=journals/canajo&collection=journals		canajo		fulltext		"Faculty Council, Robson Hall Faculty of Law"	serial								P	1
"Canadian Journal of Law & Society"	0829-3201		1986						http://heinonline.org/HOL/Index?index=journals/cjls&collection=journals		cjls		fulltext		"University of Calgary Press"	serial								P	3
"Canadian Journal of Law and Jurisprudence"	0841-8209		1988						http://heinonline.org/HOL/Index?index=journals/caljp&collection=journals		caljp		fulltext		"University of Western Ontario"	serial								P	2
"Canadian Journal of Women and the Law"	0832-8781		1985						http://heinonline.org/HOL/Index?index=journals/cajwol&collection=journals		cajwol		fulltext		"University of Toronto Press"	serial								P	2
Canadian Labour & Employment Law Journal 	1196-7889		1995	3					http://heinonline.org/HOL/Index?index=journals/canlemj		canlemj		fulltext		Lancaster House	serial								P	2
Canadian Law Library Review 	1180-176X		2004	29					http://heinonline.org/HOL/Index?index=journals/callb		callb		fulltext		Canadian Association of Law Libraries	serial								P	4
"Canadian Law Review"			1901			1907			http://heinonline.org/HOL/Index?index=journals/canlawr&collection=journals		canlawr		fulltext			serial								P	
"Canadian Law Times"			1881			1922			http://heinonline.org/HOL/Index?index=journals/canlawtt&collection=journals		canlawtt		fulltext			serial								P	
"Canadian Municipal Journal"			1891			1892			http://heinonline.org/HOL/Index?index=journals/canmunj&collection=journals		canmunj		fulltext			serial								P	
"Canadian Taxation"			1979			1981			http://heinonline.org/HOL/Index?index=journals/cianxat&collection=journals		cianxat		fulltext			serial								P	
"Canadian Yearbook of International Law"	0069-0058		1963			2012			http://heinonline.org/HOL/Index?index=journals/cybil&collection=journals		cybil	P2Y	fulltext		"Cambridge University Press"	serial								P	1
"Canberra Law Review"	1320-6702		1994						http://heinonline.org/HOL/Index?index=journals/canbera&collection=journals		canbera		fulltext		"University of Canberra"	serial								P	2
"Canterbury Law Review"	0112-0581		1997			2013			http://heinonline.org/HOL/Index?index=journals/cblrt&collection=journals		cblrt	P1Y	fulltext		"University of Canterbury School of Law"	serial								P	2
"Cape Town Convention Journal"	2049-761X		2012						http://heinonline.org/HOL/Index?index=journals/captowjo&collection=journals		captowjo		fulltext		"Taylor & Francis"	serial								P	1
Capital Defense Journal 			1997	9		2005	17		http://heinonline.org/HOL/Index?index=journals/capdj		capdj		fulltext		Washington and Lee University School of Law	serial								P	2
"Capital University Law Review"	0198-9693		1972						http://heinonline.org/HOL/Index?index=journals/capulr&collection=journals		capulr		fulltext		"Capital University Law School"	serial								P	4
Carbon & Climate Law Review 	1864-9904		2007			2014			http://heinonline.org/HOL/Index?index=journals/cclr		cclr	P6M	fulltext		Lexxion Verlagsgesellschaft mbH	serial								P	4
"Cardozo Arts & Entertainment Law Journal"	0736-7694		1982						http://heinonline.org/HOL/Index?index=journals/caelj&collection=journals		caelj		fulltext		"Yeshiva University Benjamin N. Cardozo School of Law"	serial								P	3
"Cardozo Journal of Conflict Resolution"			1999						http://heinonline.org/HOL/Index?index=journals/cardcore&collection=journals		cardcore		fulltext		"Yeshiva University,Benjamin N. Cardozo School of Law "	serial								P	3
"Cardozo Journal of International and Comparative Law"	1069-3181		1992						http://heinonline.org/HOL/Index?index=journals/cjic&collection=journals		cjic		fulltext		"Yeshiva University Benjamin N. Cardozo School of Law"	serial								P	3
Cardozo Journal of Law & Gender 	1074-5785		2006	12					http://heinonline.org/HOL/Index?index=journals/cardw		cardw		fulltext		Yeshiva University Benjamin N. Cardozo School of Law	serial								P	3
"Cardozo Law Review"	0270-5192		1979						http://heinonline.org/HOL/Index?index=journals/cdozo&collection=journals		cdozo		fulltext		"Yeshiva University Benjamin N. Cardozo School of Law"	serial								P	6
"Cardozo Public Law, Policy and Ethics Journal"	1546-1483		2003						http://heinonline.org/HOL/Index?index=journals/cardplp&collection=journals		cardplp		fulltext		"Yeshiva University,Benjamin N. Cardozo School of Law "	serial								P	3
"Carolina Law Journal"			1830	1	1	1831	1		http://heinonline.org/HOL/Index?index=journals/carlj&collection=journals		carlj		fulltext			serial								P	
"Case Western Reserve Journal of International Law"	0008-7254		1968						http://heinonline.org/HOL/Index?index=journals/cwrint&collection=journals		cwrint		fulltext		"Case Western Reserve University School of Law"	serial								P	2
"Case Western Reserve Journal of Law, Technology & the Internet"	1949-6451		2009						http://heinonline.org/HOL/Index?index=journals/caswestres&collection=journals		caswestres		fulltext		"Case Western Reserve University School of Law"	serial								P	2
Case Western Reserve Law Review 	0008-7262		1968	19					http://heinonline.org/HOL/Index?index=journals/cwrlrv		cwrlrv		fulltext		Case Western Reserve University School of Law	serial								P	4
Catholic University Journal of Law & Technology 	1068-5871		1993	1					http://heinonline.org/HOL/Index?index=journals/cconsp		cconsp		fulltext		Catholic University of America Columbus School of Law	serial								P	2
"Catholic University Law Review"	0008-8390		1950						http://heinonline.org/HOL/Index?index=journals/cathu&collection=journals		cathu		fulltext		"Catholic University of America, Columbus School of Law"	serial								P	4
"Cato Journal"	0273-3072		1981						http://heinonline.org/HOL/Index?index=journals/catoj&collection=journals		catoj		fulltext		"Cato Institute"	serial								P	3
"Cato Papers on Public Policy"			2011			2014			http://heinonline.org/HOL/Index?index=journals/catopa&collection=journals		catopa		fulltext		"Cato Institute"	serial								P	1
"Cato Supreme Court Review"	1936-0398		2001						http://heinonline.org/HOL/Index?index=journals/catoscrev&collection=journals		catoscrev		fulltext		"Cato Institute"	serial								P	1
"Caveat Emptor"			1932	1	1	1932	1		http://heinonline.org/HOL/Index?index=journals/cvtempr&collection=journals		cvtempr		fulltext			serial								P	
"Central Law Journal"			1874			1927			http://heinonline.org/HOL/Index?index=journals/cntrlwj&collection=journals		cntrlwj		fulltext			serial								P	
"Chancery Lane"			1909			1911			http://heinonline.org/HOL/Index?index=journals/chanlan&collection=journals		chanlan		fulltext			serial								P	
"Chapman Journal of Criminal Justice"			2009			2011			http://heinonline.org/HOL/Index?index=journals/chapjcj&collection=journals		chapjcj		fulltext			serial								P	1
"Chapman Law Review"			1998						http://heinonline.org/HOL/Index?index=journals/chlr&collection=journals		chlr		fulltext		"Chapman University School of Law"	serial								P	2
"Charleston Law Review"	1934-4473		2006						http://heinonline.org/HOL/Index?index=journals/charlwrev&collection=journals		charlwrev		fulltext		"Charleston School of Law"	serial								P	4
"Charlotte Law Review"	2151-2728		2008						http://heinonline.org/HOL/Index?index=journals/charlolwr&collection=journals		charlolwr		fulltext		"Charlotte School of Law"	serial								P	3
"Checklist of Human Rights Documents"			1976			1976			http://heinonline.org/HOL/Index?index=lbr/chofmard&collection=journals		chofmard		fulltext			serial	1976							P	
Chicago Journal of International Law 	1529-0816		2000	1					http://heinonline.org/HOL/Index?index=journals/cjil		cjil		fulltext		University of Chicago Law School	serial								P	2
Chicago-Kent Journal of Intellectual Property 	1559-9493		2000	2					http://heinonline.org/HOL/Index?index=journals/jointpro		jointpro		fulltext		Chicago-Kent College of Law	serial								P	2
Chicago-Kent Law Review 	0009-3599		1939	17					http://heinonline.org/HOL/Index?index=journals/chknt		chknt		fulltext		Chicago-Kent College of Law	serial								P	3
"Chicago-Kent Police Law Reporter"			1968			1969			http://heinonline.org/HOL/Index?index=journals/chikplr&collection=journals		chikplr		fulltext			serial								P	
"Chicago Law Journal"			1878			1879			http://heinonline.org/HOL/Index?index=journals/chilajou&collection=journals		chilajou		fulltext			serial								P	
"Chicago Law Journal Weekly"			1896	1	1	1896	1		http://heinonline.org/HOL/Index?index=journals/chcgolwjrnl&collection=journals		chcgolwjrnl		fulltext			serial								P	
"Chicago Law Times"			1887			1889			http://heinonline.org/HOL/Index?index=journals/chlt&collection=journals		chlt		fulltext			serial								P	
"Chicago Legal News"			1868			1925			http://heinonline.org/HOL/Index?index=journals/chiclene&collection=journals		chiclene		fulltext			serial								P	
Chicana/o-Latina/o Law Review 	1061-8899		2006	26					http://heinonline.org/HOL/Index?index=journals/chiclat		chiclat		fulltext		UCLA School of Law	serial								P	2
Child and Family Law Quarterly 	1358-8184		1995	7					http://heinonline.org/HOL/Index?index=journals/chilflq		chilflq		fulltext		Jordan Publishing	serial								P	4
Child Law Practice 	0887-896X		1997	15		2013	32		http://heinonline.org/HOL/Index?index=journals/chilawpt		chilawpt	P2Y	fulltext		American Bar Association	serial								P	12
"Children's Legal Rights Journal"	0278-7210		1979			2016			http://heinonline.org/HOL/Index?index=journals/clrj&collection=journals		clrj		fulltext	"Coverage is from volume one to the most recently published volume"	"Loyola University of Chicago School of Law"	serial								P	3
"China Law Reporter"			1980	1	1	1999	1		http://heinonline.org/HOL/Index?index=journals/china&collection=journals		china		fulltext		"American Bar Association"	serial								P	4
"China Law Review"			1922			1940			http://heinonline.org/HOL/Index?index=journals/chinlrv&collection=journals		chinlrv		fulltext			serial								P	
"China Legal Science"	2095-4867		2013						http://heinonline.org/HOL/Index?index=journals/chlegscien&collection=journals		chlegscien		fulltext		"Chinese Academy of Social Sciences"	serial								P	6
"China Oceans Law Review"	1813-7350		2005						http://heinonline.org/HOL/Index?index=journals/cholr&collection=journals		cholr		fulltext		"Xiamen University School of Law"	serial								P	2
"China Quarterly"	0305-7410		1960			2011			http://heinonline.org/HOL/Index?index=journals/chnaquar&collection=journals		chnaquar	P4Y	fulltext		"Cambridge University Press"	serial								P	4
"Chinese Journal of International Law"	1540-1650		2002	1	1	2012	1		http://heinonline.org/HOL/Index?index=journals/chnint&collection=journals		chnint	P3Y	fulltext		"Oxford University Press"	serial								P	4
"Chinese Law & Religion Monitor"	1554-3013		2005						http://heinonline.org/HOL/Index?index=journals/chlmr&collection=journals		chlmr		fulltext		"China Aid Association, Inc."	serial								P	2
"Chinese Social and Political Science Review"			1916			1941			http://heinonline.org/HOL/Index?index=journals/chinsoc&collection=journals		chinsoc		fulltext			serial								P	
Chitty's Law Journal and Family Law Review 			1996	44		2001	49		http://heinonline.org/HOL/Index?index=journals/chittylj		chittylj		fulltext			serial								P	6
"Christian Lawyer"			1968			1979			http://heinonline.org/HOL/Index?index=journals/chrislwyr&collection=journals		chrislwyr		fulltext			serial								P	
"Christian Lawyer"			2005						http://heinonline.org/HOL/Index?index=journals/chrilwy&collection=journals		chrilwy		fulltext		"Christian Legal Society"	serial								P	2
"CIJL Bulletin"			1978			1990			http://heinonline.org/HOL/Index?index=icj/cijlbul&collection=journals		cijlbul		fulltext			serial	1978							P	
"CIJL Yearbook"			1992			2000			http://heinonline.org/HOL/Index?index=icj/cijlyrbk&collection=journals		cijlyrbk		fulltext			serial	1992							P	
Citizenship Bulletin 			1959	1	8	1959	1956-1959		http://heinonline.org/HOL/Index?index=journals/citzbull		citzbull		fulltext			serial								P	
"City-Hall Reporter and New York General Law Magazine"			1833	1	1	1833	1		http://heinonline.org/HOL/Index?index=journals/cihlrepny&collection=journals		cihlrepny		fulltext			serial								P	
"City University of Hong Kong Law Review"	2076-4030		2009						http://heinonline.org/HOL/Index?index=journals/ciunhok&collection=journals		ciunhok		fulltext		"City University of Hong Kong"	serial								P	2
Civil Aeronautics Administration Journal 			1945	6		1952	13		http://heinonline.org/HOL/Index?index=journals/civaer		civaer		fulltext			serial								P	
"Civil Rights Journal"			1995			2002			http://heinonline.org/HOL/Index?index=journals/civrigj&collection=journals		civrigj		fulltext			serial								P	
"Clearinghouse Review"	0009-868X		1967			2010			http://heinonline.org/HOL/Index?index=journals/clear&collection=journals		clear	P6Y	fulltext		"Sargent Shriver National Center on Poverty Law"	serial								P	12
"Cleveland Law Record"			1856	1	1	1857	1		http://heinonline.org/HOL/Index?index=journals/clvlwre&collection=journals		clvlwre		fulltext			serial								P	
"Cleveland Law Reporter"			1878			1879			http://heinonline.org/HOL/Index?index=journals/clvndlre&collection=journals		clvndlre		fulltext			serial								P	
Cleveland State Law Review 	0009-8876		1970	19					http://heinonline.org/HOL/Index?index=journals/clevslr		clevslr		fulltext		Cleveland State University	serial								P	4
"Climate Law"	1878-6553		2010			2012			http://heinonline.org/HOL/Index?index=journals/climatla&collection=journals		climatla	P2Y	fulltext		"IOS Press"	serial								P	4
"Clinical Law Review"	1079-1159		1994						http://heinonline.org/HOL/Index?index=journals/clinic&collection=journals		clinic		fulltext		"New York University School of Law"	serial								P	2
"Clinical Legal Education Perspective"			1976			1978			http://heinonline.org/HOL/Index?index=journals/clegdp&collection=journals		clegdp		fulltext			serial								P	
"Coal Mining Law Journal"			1907			1908			http://heinonline.org/HOL/Index?index=journals/coalmiljo&collection=journals		coalmiljo		fulltext			serial								P	
"Cogito: Multidisciplinary Research Journal"	2068-6706		2009						http://heinonline.org/HOL/Index?index=journals/cogito&collection=journals		cogito		fulltext		"Dimitrie Cantemir Christian University"	serial								P	4
"Collection of Papers, Faculty of Law, Nis"	0350-8501		1962						http://heinonline.org/HOL/Index?index=journals/copnis&collection=journals		copnis		fulltext		"University of Nis"	serial								P	1
"College Counsel"			1966			1972			http://heinonline.org/HOL/Index?index=journals/cegesel&collection=journals		cegesel		fulltext			serial								P	
"College Law Bulletin"			1968			1972			http://heinonline.org/HOL/Index?index=journals/colewbult&collection=journals		colewbult		fulltext			serial								P	
"College Law Digest"			1970			1982			http://heinonline.org/HOL/Index?index=journals/ceawest&collection=journals		ceawest		fulltext			serial								P	6
"Colonial Lawyer"			1967			1991			http://heinonline.org/HOL/Index?index=journals/colaw&collection=journals		colaw		fulltext		"William & Mary Law School"	serial								P	
"Colorado Law Reporter"			1880			1880			http://heinonline.org/HOL/Index?index=journals/colwrep&collection=journals		colwrep		fulltext			serial								P	
Colorado Natural Resources Energy & Environmental Law Review 	1050-0391		2014	24	2				http://heinonline.org/HOL/Index?index=journals/colenvlp		colenvlp		fulltext		University of Colorado 	serial								P	2
Colorado Technology Law Journal 	1543-8899		2014	12	2				http://heinonline.org/HOL/Index?index=journals/jtelhtel		jtelhtel		fulltext		University of Colorado	serial								P	2
"Columbia Business Law Review"	0898-0721		1986						http://heinonline.org/HOL/Index?index=journals/colb&collection=journals		colb		fulltext		"Columbia Law School"	serial								P	3
Columbia Human Rights Law Review 	0090-7944		1972	4					http://heinonline.org/HOL/Index?index=journals/colhr		colhr		fulltext		Columbia Law School	serial								P	3
Columbia Journal of Asian Law 	1094-8449		1996	10					http://heinonline.org/HOL/Index?index=journals/colas		colas		fulltext		Columbia Law School	serial								P	2
"Columbia Journal of East European Law"			2007			2009			http://heinonline.org/HOL/Index?index=journals/coleeurl&collection=journals		coleeurl		fulltext		"Columbia University. School of Law."	serial								P	2
"Columbia Journal of Environmental Law"	0098-4582		1974						http://heinonline.org/HOL/Index?index=journals/cjel&collection=journals		cjel		fulltext		"Columbia Law School"	serial								P	3
"Columbia Journal of European Law"	1076-6715		1994						http://heinonline.org/HOL/Index?index=journals/coljeul&collection=journals		coljeul		fulltext		"Columbia Law School"	serial								P	3
"Columbia Journal of European Law Online Supplement"			2012			2014			http://heinonline.org/HOL/Index?index=journals/cjelos&collection=journals		cjelos		fulltext		"Columbia Law School"	serial								P	
"Columbia Journal of Gender and Law"	1062-6220		1991						http://heinonline.org/HOL/Index?index=journals/coljgl&collection=journals		coljgl		fulltext		"Columbia Law School"	serial								P	2
Columbia Journal of Law & the Arts 	1544-4848		2002	25					http://heinonline.org/HOL/Index?index=journals/cjla		cjla		fulltext		Columbia Law School	serial								P	4
"Columbia Journal of Law and Social Problems"	0010-1923		1965						http://heinonline.org/HOL/Index?index=journals/collsp&collection=journals		collsp		fulltext		"Columbia Law School"	serial								P	4
"Columbia Journal of Race and Law"	2155-2401		2011						http://heinonline.org/HOL/Index?index=journals/cjoral&collection=journals		cjoral		fulltext		"Columbia Law School"	serial								P	2
"Columbia Journal of Tax Law"	2169-4680		2010						http://heinonline.org/HOL/Index?index=journals/colujoutl&collection=journals		colujoutl		fulltext		"Columbia University"	serial								P	2
"Columbia Journal of Transnational Law"	0010-1931		1961						http://heinonline.org/HOL/Index?index=journals/cjtl&collection=journals		cjtl		fulltext		"Columbia Law School"	serial								P	3
"Columbia Jurist"			1885			1887			http://heinonline.org/HOL/Index?index=journals/cjur&collection=journals		cjur		fulltext			serial								P	
"Columbia Law Review"	0010-1958		1901			2014			http://heinonline.org/HOL/Index?index=journals/clr&collection=journals		clr	P1Y	fulltext		"Columbia Law School"	serial								P	8
"Columbia Law Review Sidebar"	0010-1958		2007						http://heinonline.org/HOL/Index?index=journals/sidbarc&collection=journals		sidbarc		fulltext		"Columbia Law School"	serial								P	6
"Columbia Law Times"			1887			1893			http://heinonline.org/HOL/Index?index=journals/clt&collection=journals		clt		fulltext			serial								P	
"Columbia Science and Technology Law Review"			1999						http://heinonline.org/HOL/Index?index=journals/cstlr&collection=journals		cstlr		fulltext		"Columbia Law School"	serial								P	2
Commercial Law Journal 			1931	35	8	2001	106		http://heinonline.org/HOL/Index?index=journals/clla		clla		fulltext		DePaul University College of Law	serial								P	4
Commercial Law World 	0888-8000		2011	26	4				http://heinonline.org/HOL/Index?index=journals/colaworl		colaworl		fulltext		Commercial Law League of America	serial								P	4
"Commercial Lending Review"	0886-8204		1985			2010			http://heinonline.org/HOL/Index?index=journals/cmlrv&collection=journals		cmlrv	P2Y	fulltext		"CCH Incorporated"	serial								P	6
"Common Cause"			1947			1951			http://heinonline.org/HOL/Index?index=journals/comcaus&collection=journals		comcaus		fulltext			serial								P	
"Common Law Review"	1213-4678		2001	1	1				http://heinonline.org/HOL/Index?index=journals/comnlrevi&collection=journals		comnlrevi		fulltext		"Common Law Society"	serial								P	1
Common Law World Review 	1473-7795		2001	30		2014	43		http://heinonline.org/HOL/Index?index=journals/comlwr		comlwr	P3Y	fulltext		Vathek Publishing	serial								P	4
"Commonwealth Law Bulletin"	0305-0718		1975			2010			http://heinonline.org/HOL/Index?index=journals/commwlb&collection=journals		commwlb	P5Y	fulltext		"Taylor and Francis"	serial								P	4
"Commonwealth Law Librarian"			1992			1993			http://heinonline.org/HOL/Index?index=journals/comlalib&collection=journals		comlalib		fulltext			serial								P	
"Commonwealth Law Review"			1903			1909			http://heinonline.org/HOL/Index?index=journals/comwlr&collection=journals		comwlr		fulltext			serial								P	
"Communications and the Law"			1979			2003			http://heinonline.org/HOL/Index?index=journals/coml&collection=journals		coml		fulltext			serial								P	4
"Communications Lawyer"	0737-7622		1983			2013			http://heinonline.org/HOL/Index?index=journals/comlaw&collection=journals		comlaw	P2Y	fulltext		"American Bar Association"	serial								P	4
"Comparative and International Law Journal of Southern Africa"	0010-4051		1968			2013			http://heinonline.org/HOL/Index?index=journals/ciminsfri&collection=journals		ciminsfri	P2Y	fulltext		"University of South Africa"	serial								P	3
Comparative Labor Law & Policy Journal 	1095-6654		1998	19					http://heinonline.org/HOL/Index?index=journals/cllpj		cllpj		fulltext		University of Illinois College of Law	serial								P	3
"Comparative Legal History"	2049-677X				1				http://heinonline.org/HOL/Index?index=journals/clehory&collection=journals		clehory	P5Y	fulltext		"Taylor & Francis"	serial								P	2
"Compensation Review"			1925			1932			http://heinonline.org/HOL/Index?index=journals/cospenarev&collection=journals		cospenarev		fulltext			serial								P	
Competition and Regulation in Network Industries 	1783-5917		2006	7		2013	14		http://heinonline.org/HOL/Index?index=journals/netwin		netwin	P2Y	fulltext		Intersentia Publishing	serial								P	4
"Competition Law International"	1817-5708		2005			2014			http://heinonline.org/HOL/Index?index=journals/cmpetion&collection=journals		cmpetion	P1Y	fulltext		"International Bar Association"	serial								P	2
"Con-texto: Revista de Derecho y Economia"	0123-6458		1998						http://heinonline.org/HOL/Index?index=journals/contxto&collection=journals		contxto		fulltext		"Universidad Externado de Colombia"	serial								P	1
Connecticut Insurance Law Journal 	1081-9436		1995	1					http://heinonline.org/HOL/Index?index=journals/conilj		conilj		fulltext		University of Connecticut School of Law	serial								P	2
"Connecticut Journal of International Law"	0897-1218		1985						http://heinonline.org/HOL/Index?index=journals/conjil&collection=journals		conjil		fulltext		"University of Connecticut School of Law"	serial								P	2
"Connecticut Law Review"	0010-6151		1968						http://heinonline.org/HOL/Index?index=journals/conlr&collection=journals		conlr		fulltext		"University of Connecticut School of Law"	serial								P	5
"Connecticut Law Review Online"	0010-6151		2007						http://heinonline.org/HOL/Index?index=journals/conntemp&collection=journals		conntemp		fulltext		"University of Connecticut School of Law"	serial								P	1
"Connecticut Public Interest Law Journal"	1932-2038		2001						http://heinonline.org/HOL/Index?index=journals/cpilj&collection=journals		cpilj		fulltext		"University of Connecticut School of Law"	serial								P	2
"Constitutional Commentary"	0742-7115		1984						http://heinonline.org/HOL/Index?index=journals/ccum&collection=journals		ccum		fulltext		"University of Minnesota Law School"	serial								P	3
"Constitutional Forum"	0847-3889		1989						http://heinonline.org/HOL/Index?index=journals/consfo&collection=journals		consfo		fulltext		"University of Alberta"	serial								P	3
"Constitutional Review"			1917			1929			http://heinonline.org/HOL/Index?index=journals/tcr&collection=journals		tcr		fulltext			serial								P	
"Construction Law International"	1819-1371		2006			2014			http://heinonline.org/HOL/Index?index=journals/cnstrcnl&collection=journals		cnstrcnl	P1Y	fulltext		"International Bar Association"	serial								P	4
"Construction Lawyer"	0272-0116		1980			2013			http://heinonline.org/HOL/Index?index=journals/conlaw&collection=journals		conlaw	P2Y	fulltext		"American Bar Association"	serial								P	4
"Consultant's Digest"			1991			1997			http://heinonline.org/HOL/Index?index=journals/cnsldig&collection=journals		cnsldig		fulltext			serial								P	
