publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"Reports of Cases Heard and Decided in the Court for Relief of Insolvent Debtors, by Henry Revell Reynolds, Esq., John Greathed Harris, Esq., Thomas Barton Bowen, Esq., and William John Law, Esq. from October, 1827, to June, 1829"									http://heinonline.org/HOL/Index?index=elrpre/rcadecr&collection=engrep	Cresswell	rcadecr		fulltext			monograph	1830							P	
"Reports of Cases in Bankruptcy, Argued and Determined in the Court of Review, and on Appeal before the Lord Chancellor"									http://heinonline.org/HOL/Index?index=elrpre/rcbanade&collection=engrep	Deacon	rcbanade		fulltext			monograph	1833							P	
"Reports of Cases in Bankruptcy, Argued and Determined in the Court of Review, and on Appeal before the Lord Chancellor, with a Digest of the Cases Relating to Bankruptcy in All the Contemporaneous Reports"									http://heinonline.org/HOL/Index?index=elrpre/rcbadco&collection=engrep	Montagu	rcbadco		fulltext			monograph	1842							P	
"Reports of Cases in Bankruptcy, Argued and Determined in the Court of Review, and on Appeal before the Lord Chancellor. With a Digest of the Cases Relating to Bankruptcy in All the Contemporaneous Reports"									http://heinonline.org/HOL/Index?index=elrpre/rcreapdc&collection=engrep	Deacon	rcreapdc		fulltext			monograph	1837							P	
"Reports of Cases in Bankruptcy, Decided by the Court of Review, the Vice-Chancellor Sir James Lewis Knight Bruce, and the Lord Chancellors Lord Lyndhurst and Lord Cottenham"									http://heinonline.org/HOL/Index?index=elrpre/rcbavich&collection=engrep	"De Gex"	rcbavich		fulltext			monograph	1852							P	
"Reports of Cases in Bankruptcy Decided by the Lord Chancellor Brougham, the Court of Review, and Subdivision Courts"									http://heinonline.org/HOL/Index?index=elrpre/rcuptc&collection=engrep	Montagu	rcuptc		fulltext			monograph	1834							P	
"Reports of Cases in Bankruptcy, Decided by the Lord Chancellor Brougham, the Vice-Chancellor Sir Lancelot Shadwell, and the Court of Review"									http://heinonline.org/HOL/Index?index=elrpre/rcbanlch&collection=engrep	Montagu	rcbanlch		fulltext			monograph	1835							P	
"Reports of Cases in Bankruptcy, Decided by the Lord Chancellor Cottenham, and the Court of Review"									http://heinonline.org/HOL/Index?index=elrpre/rtbkdel&collection=engrep	Montagu	rtbkdel		fulltext			monograph	1840							P	
"Reports of Cases in Bankruptcy Decided by the Lord Chancellors Lyndhurst and Brougham, the Vice-Chancellor, Sir Lancelot Shadwell, and the Court of Review"									http://heinonline.org/HOL/Index?index=elrpre/rcbanlchlb&collection=engrep	Montagu	rcbanlchlb		fulltext			monograph	1832							P	
"Reports of Cases in the County Courts included in Circuits Nos. 45 and 46, Heard and Determined by Henry James Stonor, Esq., Judge of the Said Courts"									http://heinonline.org/HOL/Index?index=elrpre/rtscaic&collection=engrep	"De Colyar"	rtscaic		fulltext			monograph	1883							P	
"Reports of Cases in the Law of Real Property & Conveyancing, Argued and Determined in All the Courts of Law and Equity"									http://heinonline.org/HOL/Index?index=elrpre/rcitlorpac&collection=engrep	Welford	rcitlorpac		fulltext			monograph	1846							P	
"Reports of Cases in the Superior Courts on the Law and Practice of the New County Courts"									http://heinonline.org/HOL/Index?index=elrpre/rocitscotl&collection=engrep	Roberts	rocitscotl		fulltext			monograph	1850							P	
"Reports of Cases of Controverted Elections before Committees of the House of Commons in the Fourteenth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/recbecho&collection=engrep	Barron	recbecho		fulltext			monograph	1846							P	
"Reports of Cases of Controverted Elections in the Fourteenth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/recofour&collection=engrep	Barron	recofour		fulltext			monograph	1844							P	
"Reports of Cases of Controverted Elections in the Sixth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/rccelsix&collection=engrep	Corbett	rccelsix		fulltext			monograph	1821							P	
"Reports of Cases Principally on Practice and Pleading, Determined in the Court of King's Bench, in Hilary, Easter, Trinity, and Michaelmas Terms, A.D. 1819"									http://heinonline.org/HOL/Index?index=elrpre/recppde&collection=engrep	Chitty	recppde		fulltext			monograph	1820							P	
"Reports of Cases (Principally under the County Courts Equitable Jurisdiction Act, 1865, and the County Courts Amendment Act, 1867) in the County Courts included in Circuit No. 45"									http://heinonline.org/HOL/Index?index=elrpre/rcequiam&collection=engrep	Austin	rcequiam		fulltext			monograph	1869							P	
"Reports of Cases Relating to Insolvency"									http://heinonline.org/HOL/Index?index=elrpre/rcrinsolv&collection=engrep	Macrae	rcrinsolv		fulltext			monograph	1852							P	
"Reports of Cases Relating to Letters Patent for Inventions"									http://heinonline.org/HOL/Index?index=elrpre/rcletpai&collection=engrep	Macrory	rcletpai		fulltext			monograph	1856							P	
"Reports of Cases Relating to the Duty and Office of Magistrates Determined in the Court of King's Bench"									http://heinonline.org/HOL/Index?index=elrpre/rcasdimd&collection=engrep	Manning	rcasdimd		fulltext			monograph	1829							P	
"Reports of Cases Relating to the Duty and Office of Magistrates Determined in the Court of King's Bench, from Hilary Term, 1822, to [Trinity Term, 1827]"									http://heinonline.org/HOL/Index?index=elrpre/rcardub&collection=engrep	Dowling	rcardub		fulltext			monograph	1823							P	
"Reports of Cases Relating to the Office of Magistrates, Determined in the Court of King's Bench"									http://heinonline.org/HOL/Index?index=elrpre/rocrttoff&collection=engrep	Nevile	rocrttoff		fulltext			monograph	1837							P	
"Reports of Cases Relative to the Duty and Office of a Justice of the Peace"									http://heinonline.org/HOL/Index?index=eislr/rcreldu&collection=engrep	Caldecott	rcreldu		fulltext			monograph								P	
"Reports of Cases under the Companies Acts, Decided in the High Court of Justice, the Court of Appeal, and the House of Lords"									http://heinonline.org/HOL/Index?index=elrpre/rcundhi&collection=engrep	Megone	rcundhi		fulltext			monograph	1890							P	
"Reports of Certain Cases Determined and Adjudged by the Commons in Parliament, in the Twenty-first and Twenty-second Years of the Reign of King James the First"									http://heinonline.org/HOL/Index?index=eislr/rececde&collection=engrep	Glanville	rececde		fulltext			monograph								P	
"Reports of County Courts Cases and Appeals, Argued and Determined in the Superior Courts"									http://heinonline.org/HOL/Index?index=elrpre/rccaads&collection=engrep	Cox	rccaads		fulltext			monograph	1852							P	
"Reports of Interesting Cases: Argued and Determined in the King's Law Courts of England and Ireland, the House of Parliament, and Military Courts"									http://heinonline.org/HOL/Index?index=beal/rincakie&collection=engrep	Rowe	rincakie		fulltext			monograph	1824							P	
"Reports of New Cases, Decided in the Chancery, Common Law, and Ecclesiastical Courts, with an Abridgement of New Statutes Affecting the Laws, Relating to the Church and the Clergy"									http://heinonline.org/HOL/Index?index=elrpre/rnccoma&collection=engrep		rnccoma		fulltext			monograph	1850				Cripps			P	
"Reports of New Magistrates' Cases Argued and Determined in All the Courts of Common Law at Westminster"									http://heinonline.org/HOL/Index?index=elrpre/nmagcca&collection=engrep	Bittleston	nmagcca		fulltext			monograph	1846							P	
"Reports of Prize Cases Determined in the High Court of Admiralty, before the Lords Commissioners of Appeals in Prize Causes, and before the Judicial Committee of the Privy Council, from 1745 to 1859"									http://heinonline.org/HOL/Index?index=elrpre/rphigab&collection=engrep		rphigab		fulltext			monograph	1905				Roscoe			P	
"Reports of the Cases Determined in the Supreme Court of Judicature Illustrative of the New System of Practice and Pleading"									http://heinonline.org/HOL/Index?index=elrpre/rcdjudill&collection=engrep		rcdjudill		fulltext			monograph	1876				Charley			P	
"Reports of the Cases Relating to Maritime Law, Decided by the Court of Admiralty, and by All the Superior Courts of Law and Equity"									http://heinonline.org/HOL/Index?index=elrpre/rcmarisc&collection=engrep	Crockford	rcmarisc		fulltext			monograph	1864							P	
"Reports of the Decisions of Committees of the House of Commons in the Trial of Controverted Elections, during the Fifteenth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/rdchousec&collection=engrep	Power	rdchousec		fulltext			monograph	1853							P	
"Reports of the Decisions of Committees of the House of Commons in the Trial of Controverted Elections, during the Seventeenth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/rotdocomm&collection=engrep	Wolferstan	rotdocomm		fulltext			monograph	1859							P	
"Reports of the Decisions of Election Committees during the Eighteenth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/rotdowcomd&collection=engrep	Wolferstan	rotdowcomd		fulltext			monograph	1865							P	
"Reports of the Proceedings before Select Committees of the House of Commons, in the following Cases of Controverted Elections"									http://heinonline.org/HOL/Index?index=elrpre/repproscce&collection=engrep	Fraser	repproscce		fulltext			monograph	1791							P	
"Reports of the Proceedings in Committees of the House of Commons upon Controverted Elections Heard and Determined during the Present Parliament"									http://heinonline.org/HOL/Index?index=elrpre/rpcohce&collection=engrep	Luders	rpcohce		fulltext			monograph	1785							P	
"Scott's New Reports in the Court of Common Pleas and Exchequer Chamber"									http://heinonline.org/HOL/Index?index=elrpre/sconplee&collection=engrep	Scott	sconplee		fulltext			monograph	1841							P	
"Second Part of the Justice of Peace, His Companion: Or, Cases in Law (wherein Justices of Peace Have a Jurisdiction) Which Have Been Determined by the Judges from the Reign of King Edward III, down to the Year 1734"									http://heinonline.org/HOL/Index?index=elrpre/secprtcl&collection=engrep	Blackerby	secprtcl		fulltext			monograph	1734							P	
"Series of the Decisions of the Court of King's Bench upon Settlement-Cases; from the Death of Lord Raymond in March 1732"									http://heinonline.org/HOL/Index?index=elrpre/serdckb&collection=engrep	Burrow	serdckb		fulltext			monograph	1768							P	
"Six Judgments of the Judicial Committee of the Privy Council in Ecclesiastical Cases, 1850-1872"									http://heinonline.org/HOL/Index?index=elrpre/sixjecc&collection=engrep		sixjecc		fulltext			monograph	1872				Brooke			P	
"Statutes of the Realm"									http://heinonline.org/HOL/Index?index=engrep/realm&collection=engrep		realm		fulltext			monograph								P	
"Tables, Alphabetical and Chronological, of All Reports of Cases Decided in the Superior Courts of England, Scotland and Ireland, Prior to the Commencement of the Reports Issues by the Council of Law Reporting"									http://heinonline.org/HOL/Index?index=selden/tbach&collection=engrep	Cane	tbach		fulltext			monograph	1895							P	
"Times Law Reports and Commercial Cases"			1884			1946			http://heinonline.org/HOL/Index?index=selden/tmlwr&collection=engrep		tmlwr		fulltext		"Times Publishing Company"	serial	1884							P	

