	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_issue_online	num_last_vol_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	title_availability
781	Speculative Markets: Drug Circuits and Derivative Life in Nigeria	9780822357025.0	9780822376477.0							http://doi.org/10.1215/9780822376477	Peterson, Kristin			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
782	The Last Beach	9780822358091.0	9780822375944.0							http://doi.org/10.1215/9780822375944	Pilkey, Orrin			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
783	Theory Aside	9780822356813.0	9780822376637.0							http://doi.org/10.1215/9780822376637	Potts, Jason			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
784	Oxford Street, Accra: City Life and the Itineraries of Transnationalism	9780822357476.0	9780822376293.0							http://doi.org/10.1215/9780822376293	Quayson, Ato			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
785	Given to the Goddess: South Indian Devadasis and the Sexuality of Religion	9780822357247.0	9780822376415.0							http://doi.org/10.1215/9780822376415	Ramberg, Lucinda			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
786	Indigenous Intellectuals: Knowledge, Power, and Colonial Culture in Mexico and the Andes	9780822356608.0	9780822376743.0							http://doi.org/10.1215/9780822376743	Ramos, Gabriela			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
787	Speculation, Now: Essays and Artwork	9780822358299.0	9780822375906.0							http://doi.org/10.1215/9780822375906	Rao, Vyjayanthi			fulltext		Duke University Press	Monograph	2015.0	2014.0						P	Available
788	The Disappearing Mestizo: Configuring Difference in the Colonial New Kingdom of Granada	9780822356363.0	9780822376859.0							http://doi.org/10.1215/9780822376859	Rappaport, Joanne			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
789	Animating Film Theory	9780822356523.0	9780822376811.0							http://doi.org/10.1215/9780822376811	Redrobe Beckman, Karen			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
790	Tell Tchaikovsky the News: Rock &rsquo;n&rsquo; Roll, the Labor Question, and the Musicians&rsquo; Union, 1942&ndash;1968	9780822354758.0	9780822378839.0							http://doi.org/10.1215/9780822378839	Roberts, Michael			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
791	The Dominican Republic Reader: History, Culture, Politics	9780822357001.0	9780822376521.0							http://doi.org/10.1215/9780822376521	Roorda, Eric			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
792	The Day of Shelly's Death: The Poetry and Ethnography of Grief	9780822356615.0	9780822376736.0							http://doi.org/10.1215/9780822376736	Rosaldo, Renato			fulltext		Duke University Press	Monograph	2013.0	2014.0						P	Available
793	Body and Nation: The Global Realm of U.S. Body Politics in the Twentieth Century	9780822356752.0	9780822376712.0							http://doi.org/10.1215/9780822376712	Rosenberg, Emily			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
794	The Vanguard of the Atlantic World: Creating Modernity, Nation, and Democracy in Nineteenth-Century Latin America	9780822357803.0	9780822376132.0							http://doi.org/10.1215/9780822376132	Sanders, James			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
795	The French Writers' War, 1940-1953	9780822351917.0	9780822395126.0							http://doi.org/10.1215/9780822395126	Sapiro, Gisèle			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
796	Sex Scene: Media and the Sexual Revolution	9780822356547.0	9780822376804.0							http://doi.org/10.1215/9780822376804	Schaefer, Eric			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
797	Illusions of a Future: Psychoanalysis and the Biopolitics of Desire	9780822357216.0	9780822376422.0							http://doi.org/10.1215/9780822376422	Schechter, Kate			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
798	Omens of Adversity: Tragedy, Time, Memory, Justice	9780822356219.0	9780822377023.0							http://doi.org/10.1215/9780822377023	Scott, David			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
799	Making Cinelandia: American Films and Mexican Film Culture before the Golden Age	9780822356530.0	9780822376798.0							http://doi.org/10.1215/9780822376798	Serna, Laura			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
800	Street Corner Secrets: Sex, Work, and Migration in the City of Mumbai	9780822356981.0	9780822376514.0							http://doi.org/10.1215/9780822376514	Shah, Svati			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
801	The Political Force of Musical Beauty	9780822356585.0	9780822376750.0							http://doi.org/10.1215/9780822376750	Shank, Barry			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
802	Skin for Skin: Death and Life for Inuit and Innu	9780822355366.0	9780822377368.0							http://doi.org/10.1215/9780822377368	Sider, Gerald			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
803	Forensic Media: Reconstructing Accidents in Accelerated Modernity	9780822357537.0	9780822376231.0							http://doi.org/10.1215/9780822376231	Siegel, Greg			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
804	Mohawk Interruptus: Political Life Across the Borders of Settler States	9780822356554.0	9780822376781.0							http://doi.org/10.1215/9780822376781	Simpson, Audra			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
805	Theorizing Native Studies	9780822356790.0	9780822376613.0							http://doi.org/10.1215/9780822376613	Simpson, Audra			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
806	Fighting for Recognition: Identity, Masculinity, and the Act of Violence in Professional Wrestling	9780822357223.0	9780822376408.0							http://doi.org/10.1215/9780822376408	Smith, R.			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
807	The Work of Art in the World: Civic Agency and Public Humanities	9780822355861.0	9780822377122.0							http://doi.org/10.1215/9780822377122	Sommer, Doris			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
808	Thirteen Ways of Looking at Latino Art	9780822356349.0	9780822376880.0							http://doi.org/10.1215/9780822376880	Stavans, Ilan			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
809	Skin Acts: Race, Psychoanalysis, and the Black Male Performer	9780822356776.0	9780822376651.0							http://doi.org/10.1215/9780822376651	Stephens, Michelle			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
810	Bad Water: Nature, Pollution, and Politics in Japan, 1870&ndash;1950	9780822356998.0	9780822376507.0							http://doi.org/10.1215/9780822376507	Stolz, Robert			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
811	After Love: Queer Intimacy and Erotic Economies in Post-Soviet Cuba	9780822356851.0	9780822376590.0							http://doi.org/10.1215/9780822376590	Stout, Noelle			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
812	Biomedicine in an Unstable Place: Infrastructure and Personhood in a Papua New Guinean Hospital	9780822357780.0	9780822376668.0							http://doi.org/10.1215/9780822376668	Street, Alice			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
813	Desire and Disaster in New Orleans: Tourism, Race, and Historical Memory	9780822357285.0	9780822376354.0							http://doi.org/10.1215/9780822376354	Thomas, Lynnell			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
814	Dance Floor Democracy: The Social Geography of Memory at the Hollywood Canteen	9780822357575.0	9780822376200.0							http://doi.org/10.1215/9780822376200	Tucker, Sherrie			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
815	Portrait of a Young Painter: Pepe Zuniga and Mexico City's Rebel Generation	9780822357810.0	9780822376125.0							http://doi.org/10.1215/9780822376125	Vaughan, Mary			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
816	Mestizo Genomics: Race Mixture, Nation, and Science in Latin America	9780822356592.0	9780822376729.0							http://doi.org/10.1215/9780822376729	Wade, Peter			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
817	Soundtracks of Asian America: Navigating Race through Musical Performance	9780822357698.0	9780822376088.0							http://doi.org/10.1215/9780822376088	Wang, Grace			fulltext		Duke University Press	Monograph	2015.0	2014.0						P	Available
818	Reality Gendervision: Sexuality and Gender on Transatlantic Reality Television	9780822356820.0	9780822376644.0							http://doi.org/10.1215/9780822376644	Weber, Brenda			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
819	Habeas Viscus: Racializing Assemblages, Biopolitics, and Black Feminist Theories of the Human	9780822357018.0	9780822376491.0							http://doi.org/10.1215/9780822376491	Weheliye, Alexander			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
820	Paper Cadavers: The Archives of Dictatorship in Guatemala	9780822356028.0	9780822376583.0							http://doi.org/10.1215/9780822376583	Weld, Kirsten			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
821	Spectacular Digital Effects: CGI and Contemporary Cinema	9780822355885.0	9780822377146.0							http://doi.org/10.1215/9780822377146	Whissel, Kristen			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
822	Second Chances: Surviving AIDS in Uganda	9780822358084.0	9780822375975.0							http://doi.org/10.1215/9780822375975	Whyte, Susan			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
823	On The Wire	9780822357179.0	9780822376446.0							http://doi.org/10.1215/9780822376446	Williams, Linda			fulltext		Duke University Press	Monograph	2014.0	2014.0						P	Available
824	Neutral Accent: How Language, Labor, and Life Become Global	9780822358534.0	9780822375715.0							http://doi.org/10.1215/9780822375715	Aneesh, A.			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
825	Edgar Heap of Birds	9780822359944.0	9780822374992.0							http://doi.org/10.1215/9780822374992	Anthes, Bill			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
826	Light in the Dark/Luz en lo Oscuro: Rewriting Identity, Spirituality, Reality	9780822360094.0	9780822375036.0							http://doi.org/10.1215/9780822375036	Anzaldua, Gloria			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
827	Entanglements of Empire: Missionaries, Maori, and the Question of the Body	9780822358268.0	9780822375883.0							http://doi.org/10.1215/9780822375883	Ballantyne, Tony			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
828	Punishment in Paradise: Race, Slavery, Human Rights, and a Nineteenth-Century Brazilian Penal Colony	9780822358305.0	9780822375890.0							http://doi.org/10.1215/9780822375890	Beattie, Peter			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
829	Plastic Materialities: Politics, Legality, and Metamorphosis in the Work of Catherine Malabou	9780822358572.0	9780822375739.0							http://doi.org/10.1215/9780822375739	Bhandar, Brenna			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
830	Pipe Politics, Contested Waters: Embedded Infrastructures of Millennial Mumbai	9780822359692.0	9780822375210.0							http://doi.org/10.1215/9780822375210	Björkman, Lisa			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
831	Political Landscapes: Forests, Conservation, and Community in Mexico	9780822358329.0	9780822375876.0							http://doi.org/10.1215/9780822375876	Boyer, Christopher			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
832	The Repeating Body: Slavery's Visual Resonance in the Contemporary	9780822359296.0	9780822375418.0							http://doi.org/10.1215/9780822375418	Brown, Kimberly			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
833	Dark Matters: On the Surveillance of Blackness	9780822359388.0	9780822375302.0							http://doi.org/10.1215/9780822375302	Browne, Simone			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
834	Architecture at the End of the Earth: Photographing the Russian North	9780822359067.0	9780822375432.0							http://doi.org/10.1215/9780822375432	Brumfield, William			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
835	A Sentimental Education for the Working Man: The Mexico City Penny Press, 1900-1910	9780822358824.0	9780822375579.0							http://doi.org/10.1215/9780822375579	Buffington, Robert			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
836	Mounting Frustration: The Art Museum in the Age of Black Power	9780822371458.0	9780822374893.0							http://doi.org/10.1215/9780822374893	Cahan, Susan			fulltext		Duke University Press	Monograph	2016.0	2015.0						P	Available
837	Families in War and Peace: Chile from Colony to Nation	9780822358831.0	9780822375562.0							http://doi.org/10.1215/9780822375562	Chambers, Sarah			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
838	South Side Girls: Growing Up in the Great Migration	9780822358541.0	9780822375708.0							http://doi.org/10.1215/9780822375708	Chatelain, Marcia			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
839	Exile and Pride: Disability, Queerness, and Liberation	9780822360315.0	9780822374879.0							http://doi.org/10.1215/9780822374879	Clare, Eli			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
840	Revolt of the Saints: Memory and Redemption in the Twilight of Brazilian Racial Democracy	9780822353201.0	9780822395706.0							http://doi.org/10.1215/9780822395706	Collins, John			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
841	Microgroove: Forays into Other Music	9780822358701.0	9780822375531.0							http://doi.org/10.1215/9780822375531	Corbett, John			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
842	Gesture and Power: Religion, Nationalism, and Everyday Performance in Congo	9780822360360.0	9780822374848.0							http://doi.org/10.1215/9780822374848	Covington-Ward, Yolanda			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
843	Shapeshifters: Black Girls and the Choreography of Citizenship	9780822359319.0	9780822375371.0							http://doi.org/10.1215/9780822375371	Cox, Aimee			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
844	Earth Beings: Ecologies of Practice across Andean Worlds	9780822359630.0	9780822375265.0							http://doi.org/10.1215/9780822375265	de la Cadena, Marisol			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
845	Recycled Stars: Female Film Stardom in the Age of Television and Video	9780822358022.0	9780822376033.0							http://doi.org/10.1215/9780822376033	Desjardins, Mary			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
846	Feminist Surveillance Studies	9780822358923.0	9780822375463.0							http://doi.org/10.1215/9780822375463	Dubrofsky, Rachel			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
847	Sensing Sound: Singing and Listening as Vibrational Practice	9780822360612.0	9780822374695.0							http://doi.org/10.1215/9780822374695	Eidsheim, Nina			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
848	Territories of the Soul: Queered Belonging in the Black Diaspora	9780822359289.0	9780822375104.0							http://doi.org/10.1215/9780822375104	Ellis, Nadia			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
849	Aesthetic Revolutions and Twentieth-Century Avant-Garde Movements	9780822358725.0	9780822375661.0							http://doi.org/10.1215/9780822375661	Erjavec, Ale			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
850	Lion Songs: Thomas Mapfumo and the Music That Made Zimbabwe	9780822359081.0	9780822375425.0							http://doi.org/10.1215/9780822375425	Eyre, Banning			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
851	Give a Man a Fish: Reflections on the New Politics of Distribution	9780822358862.0	9780822375524.0							http://doi.org/10.1215/9780822375524	Ferguson, James			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
852	Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity	9780822358817.0	9780822375555.0							http://doi.org/10.1215/9780822375555	Field, Allyson			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
853	The East Is Black: Cold War China in the Black Radical Imagination	9780822357865.0	9780822376095.0							http://doi.org/10.1215/9780822376095	Frazier, Robeson			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
854	Remnants: A Memoir of Spirit, Activism, and Mothering	9780822358794.0	9780822375586.0							http://doi.org/10.1215/9780822375586	Freeney Harding, Rosemarie			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
855	Janus's Gaze: Essays on Carl Schmitt	9780822360322.0	9780822374855.0							http://doi.org/10.1215/9780822374855	Galli, Carlo			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
856	When Rains Became Floods: A Child Soldier's Story	9780822358510.0	9780822371441.0							http://doi.org/10.1215/9780822371441	Gavilán Sánchez, Lurgio			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
857	Bruno: Conversations with a Brazilian Drug Dealer	9780822358497.0	9780822375777.0							http://doi.org/10.1215/9780822375777	Gay, Robert			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
858	Para-States and Medical Science: Making African Global Health	9780822357490.0	9780822376279.0							http://doi.org/10.1215/9780822376279	Geissler, Paul Wenzel			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
859	The Left Side of History: World War II and the Unfulfilled Promise of Communism in Eastern Europe	9780822358350.0	9780822375821.0							http://doi.org/10.1215/9780822375821	Ghodsee, Kristen			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
860	Islam and Secularity: The Future of Europe's Public Sphere	9780822359982.0	9780822375135.0							http://doi.org/10.1215/9780822375135	Göle, Nilüfer			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
861	The Transparent Traveler: The Performance and Culture of Airport Security	9780822359609.0	9780822375296.0							http://doi.org/10.1215/9780822375296	Hall, Rachel			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
862	Repeating iek	9780822358916.0	9780822375470.0							http://doi.org/10.1215/9780822375470	Hamza, Agon			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
863	Visual Occupations: Violence and Visibility in a Conflict Zone	9780822358879.0	9780822375517.0							http://doi.org/10.1215/9780822375517	Hochberg, Gil			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
864	A Nervous State: Violence, Remedies, and Reverie in Colonial Congo	9780822359654.0	9780822375241.0							http://doi.org/10.1215/9780822375241	Hunt, Nancy			fulltext		Duke University Press	Monograph	2016.0	2015.0						P	Available
865	Cosmopolitan Conceptions: IVF Sojourns in Global Dubai	9780822359333.0	9780822375357.0							http://doi.org/10.1215/9780822375357	Inhorn, Marcia			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
866	Alchemy in the Rain Forest: Politics, Ecology, and Resilience in a New Guinea Mining Area	9780822360117.0	9780822375012.0							http://doi.org/10.1215/9780822375012	Jacka, Jerry			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
867	Henri Bergson	9780822359357.0	9780822375333.0							http://doi.org/10.1215/9780822375333	Jankelevitch, Vladimir			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
868	Saved for a Purpose: A Journey from Private Virtues to Public Values	9780822358961.0	9780822375548.0							http://doi.org/10.1215/9780822375548	Joseph, James			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
869	Ordinary Medicine: Extraordinary Treatments, Longer Lives, and Where to Draw the Line	9780822358886.0	9780822375500.0							http://doi.org/10.1215/9780822375500	Kaufman, Sharon			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
870	Virtual Memory: Time-Based Art and the Dream of Digitality	9780822360025.0	9780822375159.0							http://doi.org/10.1215/9780822375159	King, Homay			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
871	Emergent Ecologies	9780822360353.0	9780822374800.0							http://doi.org/10.1215/9780822374800	Kirksey, Eben			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
872	addicted.pregnant.poor	9780822359968.0	9780822375180.0							http://doi.org/10.1215/9780822375180	Knight, Kelly			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
873	Movement and the Ordering of Freedom: On Liberal Governances of Mobility	9780822358558.0	9780822375753.0							http://doi.org/10.1215/9780822375753	Kotef, Hagar			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
874	Loneliness and Its Opposite: Sex, Disability, and the Ethics of Engagement	9780822358336.0	9780822375845.0							http://doi.org/10.1215/9780822375845	Kulick, Don			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
875	Lunch With a Bigot: The Writer in the World	9780822359302.0	9780822375395.0							http://doi.org/10.1215/9780822375395	Kumar, Amitava			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
876	Intimate Empire: Collaboration and Colonial Modernity in Korea and Japan	9780822359258.0	9780822375401.0							http://doi.org/10.1215/9780822375401	Kwon, Nayoung Aimee			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
877	Unreasonable Histories: Nativism, Multiracial Lives, and the Genealogical Imagination in British Africa	9780822357254.0	9780822376378.0							http://doi.org/10.1215/9780822376378	Lee, Christopher			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
878	Muslim Fashion: Contemporary Style Cultures	9780822359340.0	9780822375340.0							http://doi.org/10.1215/9780822375340	Lewis, Reina			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
879	Unearthing Conflict: Corporate Mining, Activism, and Expertise in Peru	9780822358312.0	9780822375869.0							http://doi.org/10.1215/9780822375869	Li, Fabiana			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
880	Troubling Freedom: Antigua and the Aftermath of British Emancipation	9780822360070.0	9780822375050.0							http://doi.org/10.1215/9780822375050	Lightfoot, Natasha			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
881	Queer Marxism in Two Chinas	9780822360049.0	9780822375081.0							http://doi.org/10.1215/9780822375081	Liu, Petrus			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
882	The Intimacies of Four Continents	9780822358756.0	9780822375647.0							http://doi.org/10.1215/9780822375647	Lowe, Lisa			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
883	The Anomie of the Earth: Philosophy, Politics, and Autonomy in Europe and the Americas	9780822358930.0	9780822375456.0							http://doi.org/10.1215/9780822375456	Luisetti, Federico			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
884	Sounding the Modern Woman: The Songstress in Chinese Cinema	9780822358763.0	9780822375623.0							http://doi.org/10.1215/9780822375623	Ma, Jean			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
885	Making Freedom: Apartheid, Squatter Politics, and the Struggle for Home	9780822359661.0	9780822375111.0							http://doi.org/10.1215/9780822375111	Makhulu, Anne-Maria			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
886	Speaking of the Self: Gender, Performance, and Autobiography in South Asia	9780822359913.0	9780822374978.0							http://doi.org/10.1215/9780822374978	Malhotra, Anshu			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
887	The Need to Help: The Domestic Arts of International Humanitarianism	9780822359326.0	9780822375364.0							http://doi.org/10.1215/9780822375364	Malkki, Liisa			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
888	Unsettling India: Affect, Temporality, Transnationality	9780822358367.0	9780822375838.0							http://doi.org/10.1215/9780822375838	Mankekar, Purnima			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
889	The Power at the End of the Economy	9780822358381.0	9780822375814.0							http://doi.org/10.1215/9780822375814	Massumi, Brian			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
890	Ontopower: War, Powers, and the State of Perception	9780822359951.0	9780822375197.0							http://doi.org/10.1215/9780822375197	Massumi, Brian			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
891	The Limits of Okinawa: Japanese Capitalism, Living Labor, and Theorizations of Community	9780822358015.0	9780822376040.0							http://doi.org/10.1215/9780822376040	Matsumura, Wendy			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
892	How Would You Like to Pay?: How Technology Is Changing the Future of Money	9780822359999.0	9780822375173.0							http://doi.org/10.1215/9780822375173	Maurer, Bill			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
893	Real Men Don't Sing: Crooning in American Culture	9780822359364.0	9780822375326.0							http://doi.org/10.1215/9780822375326	McCracken, Allison			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
894	Sylvia Wynter: On Being Human as Praxis	9780822358343.0	9780822375852.0							http://doi.org/10.1215/9780822375852	McKittrick, Katherine			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
895	Metroimperial Intimacies: Fantasy, Racial-Sexual Governance, and the Philippines in U.S. Imperialism, 18991913	9780822360346.0	9780822374862.0							http://doi.org/10.1215/9780822374862	Mendoza, Victor			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
896	Mondo Nano: Fun and Games in the World of Digital Matter	9780822357438.0	9780822376330.0							http://doi.org/10.1215/9780822376330	Milburn, Colin			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
897	The Spectral Wound: Sexual Violence, Public Memories, and the Bangladesh War of 1971	9780822359685.0	9780822375227.0							http://doi.org/10.1215/9780822375227	Mookherjee, Nayanika			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
898	Rendering Life Molecular: Models, Modelers, and Excitable Matter	9780822358787.0	9780822375630.0							http://doi.org/10.1215/9780822375630	Myers, Natasha			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
899	Who Counts?: The Mathematics of Death and Life After Genocide	9780822360056.0	9780822375074.0							http://doi.org/10.1215/9780822375074	Nelson, Diane			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
900	Cherry Grove, Fire Island: Sixty Years in America's First Gay and Lesbian Town	9780822355533.0	9780822377214.0							http://doi.org/10.1215/9780822377214	Newton, Esther			fulltext		Duke University Press	Monograph	2014.0	2015.0						P	Available
901	Keywords in Sound	9780822358893.0	9780822375494.0							http://doi.org/10.1215/9780822375494	Novak, David			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
902	Hitchcock à la Carte	9780822358046.0	9780822376026.0							http://doi.org/10.1215/9780822376026	Olsson, Jan			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
903	Reel World: An Anthropology of Creation	9780822360001.0	9780822375166.0							http://doi.org/10.1215/9780822375166	Pandian, Anand			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
904	Negro Soy Yo: Hip Hop and Raced Citizenship in Neoliberal Cuba	9780822358855.0	9780822374954.0							http://doi.org/10.1215/9780822374954	Perry, Marc			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
905	Asians Wear Clothes on the Internet: Race, Gender, and the Work of Personal Style Blogging	9780822360308.0	9780822374886.0							http://doi.org/10.1215/9780822374886	Pham, Minh-Ha			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
906	Audible Empire: Music, Global Politics, Critique	9780822360124.0	9780822374947.0							http://doi.org/10.1215/9780822374947	Radano, Ronald			fulltext		Duke University Press	Monograph	2016.0	2015.0						P	Available
907	Dilemmas of Difference: Indigenous Women and the Limits of Postcolonial Development Policy	9780822360100.0	9780822375029.0							http://doi.org/10.1215/9780822375029	Radcliffe, Sarah			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
908	Haydée Santamaría, Cuban Revolutionary: She Led by Transgression	9780822359623.0	9780822375272.0							http://doi.org/10.1215/9780822375272	Randall, Margaret			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
909	Postgenomics: Perspectives on Biology after the Genome	9780822358947.0	9780822375449.0							http://doi.org/10.1215/9780822375449	Richardson, Sarah			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
910	Poetics of the Flesh	9780822360131.0	9780822374930.0							http://doi.org/10.1215/9780822374930	Rivera, Mayra			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
911	Remixing Reggaetón: The Cultural Politics of Race in Puerto Rico	9780822359647.0	9780822375258.0							http://doi.org/10.1215/9780822375258	Rivera-Rideau, Petra			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
912	Broadcasting Modernity: Cuban Commercial Television, 1950-1960	9780822358718.0	9780822375685.0							http://doi.org/10.1215/9780822375685	Rivero, Yeidy			fulltext		Duke University Press	Monograph	2015.0	2015.0						P	Available
