publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Urban History (formerly Urban History Yearbook Volumes 1 (1974) - 18 (1991))	0963-9268	1469-8706									UHY													
Utilitas	0953-8208	1741-6183									UTI													
Victorian Literature and Culture (formerly Browning Institute Studies Volumes 1 (1973) - 18 (1990))	1060-1503	1470-1553									VLC													
Visual neuroscience	0952-5238	1469-8714									VNS													
Wireless Power Transfer	2052-8418	2052-8418									WPT													
World Politics	0043-8871	1086-3338									WPO													
World Trade Review	1474-7456	1475-3138									WTR													
World's Poultry Science Journal (formerly International Review of Poultry Science Volumes 1 (1928) - 13 (1940))	0043-9339	1743-4777									WPS													
Yearbook of International Humanitarian Law	1389-1359	1574-096X									YHL													
Zygote	0967-1994	1469-8730									ZYG													
